comment
" 정령탄 과금에 없으면 사냥안될듯?, "
" 한국게임산업은 망했고 망해야 한다. 게임성과 실험정신은 애초부터 없었고 오직 여캐 가슴 허벅지나 강조하여  양산형 현질유도 게임뿐이지., "
" 온라인게임으로는 대박게임이였지, "
" 갓겜만 골라서 소개해도 시간이 모자란데 꼭 이런게임 소개 해야 함?    광고 하시는건 자유지만  구독 좋아요는 무리라고 생각됨., "
" 리니지2  진짜 재밌게 한 겜인데 그때 멤버들과 아직도 연락하고, "
" 안해 ㅎㅎ 과금아니면 절때 못하는 엔시게임, "
" 게임 잘만드는건 ㅇㅈ 그러나 4행성이라는게 함정, "
" 현질해라 개돼지들아~그래야 겜사에서 보너스라도 두둑히받지 현질안하려면 겜하지마라 그지들아ㅋㅋ, "
" 공개영상에서도 수십명플레이할때 버벅대는데 실재 폰으로돌리면 거이 정지화면 수준으로버벅될듯 ㅡㅡ폰 온도 확올라가고배터리순삭이고  튕기고.. 안봐도 비디오네 ㅡㅡ, "
" 프레임 뚝뚝 끊기는거 느껴지는데 그래픽이 최고다...라고하기엔... 쬐깐한 화면으로 게임할 바엔 컴터로 로스트아크 할래요, "
" 10창렬 nc불매운동 합시다., "
" 엔씨게임이 게임인가? 도박이지?유저들응 개돼지로 아는 엔씨.엔씨게임 절대로 안한다., "
" 저정도 퀄리티면 폰에 버벅거림이 심하지 않을까?, "
" 리니지2로 넘어가야되나  ㅋㅋㅋㅋ, "
" 응 현질., "
" 아니 이런걸 PC 게임쪽으로 만들지 왜 모바일이냐 ... 참 안타깝다, "
" 리니지 너혼자 하시고 엔씨 흑우되세요~^^응원합니다, "
" 안해 더러운엔씨게임, "
" 엔시건 돈없음 손댓다가 사람취급 못받을걸 ㅋ안해야지, "
" n사는걸러라~, "
" 암덩어리NC, "
" 그래픽말고는 볼게없는 NC이미 국내최고란 타이틀은 검은사막에 넘어간지 오래, "
" 응 안해ㅋㅋ, "
" 나와봐야알지 트레일러만봐서는 모름, "
" 엔씨 소프트 도박장 홍보하고 자빠졌네 구독따위 기대하지 마라 혐오한다, "
" CG말고 인플레이 영상이 보구싶습니다.., "
" 돈먹었다의 내 왼쪽부랄건다 넌뭘걸래, "
" 현질 호구들 모집중...ㅋㅋㅋ.NC겜은 두번다시 않하는 일인, "
" 시발새꺄...김택진 개새끼  똥구멍 다 헐겠다...애널 서킹도 정도껏 해라...제이..? 개 양아치 자낳괴 새끼야...캬악 퇘~, "
" 말투때문에 도저히 못보겠네, "
" 이 영상보고 더 하기싫어졌다, "
" 린지는 패스  돈이읍다, "
" 와 정말 개쩌러요~ 와 정말 이 디테일좀 보세요~ 캬~ 엄청 좋습니다. 와 대단합니다. ??? 그래서 내용이 뭐죠? 닥치고 그냥 '쩌러요' 이건가요?, "
" 믿고 거름, "
" 뭐 어떻게 나오든지간에 수장은 리니지m대표 nc김택진이란게 변함이 없다게임 하나만봐도 답나옴 그냥 겉좋은똥이다그걸 망각하는순간 헤헤거리는 발정난 개돼지랑 똑같다 무과금으로 하면돼지~라고??그렇게 시작해도 10명중 절반은 접거나 돈쓴다 한번 돈쓰면 끝이없는 ㅈ망게임 절대 설치도 하지말고 꾹 참아라, "
" 오지게빠네 다른건몰라돚캐릭터나올때 디테일운운하는건웃기다 저기 디테일다살아있는거봐라 절대 인게임영상아니고 시네마틱컷보고 빨고있네 그래픽나쁜건아니지만 실그래픽은 전투할때나오는 그래픽이 인게임이라보시면됩니다, "
" 말하는데 영혼도없고 돈받고 광고했다고 표시라도합시다 ㅋㅋㅋ, "
" 국내최초 풀HD은 검사모입니다.(아니가?), "
" 오바싸고있네ㅡㅋㅋ, "
" 님아 엔씨 겜은 안해요..., "
" 이겜도 무과금으로 할만한가요? 레이드같이 고난도 컨텐츠는 못하더라도 즐길수는 있으면 좋겠는데, "
" 검사모가 더 그래픽 좋을듯..., "
4
" 기존 31개 클래스 보다더 많은 클래스 공개 예정?= 그만큼 많은 과금 클래스 개발 예정, "
" 비추 누르고 갑니다, "
" 아직도 홍보영상 가지고  인게임영상이라 믿는 흑우 없제, "
" 응 안해, "
" 그래봐야 다들 pc로 하던데. pc에서 못하게 막아야 제대로 된 모바일 게임 아닐까요? 결국 감성 울거먹기던데.., "
" ㅋㅋㅋㅋㅋ그저 웃고간다~, "
" 이거 언제 나와요?, "
" 뭐여 원채널이면 또 아재들 돈으로 땅따먹기하는 겜되겠네?, "
" 엔씨 주식 사야되나, "
" 게임은 잘만들지 운영이 ㅈ같을뿐, "
" 현질유도  아니면  해볼듯, "
" 영상만볼만하지ㅋ뚜껑열어보면 핵과금, "
" 중요한건 과금율입니다 리니지m 처럼 말도안되는과금 시스템이면 바로휴지통행입니다 과금시스템 없애라는게아니라 한달에 계정비정도 쓰고충분히즐길수있게 해줘야죠 ㅅㅂ, "
" 엔씨겜하다가 집안거덜나것다, "
" 리니지2의 가장 꿀잼은... 말섬에서 공짜배타고 글루딘 넘어가다가 리턴 안되도록 2/3 지점에서 뛰어내려서 바다 속 해저터널로 겁나 뛰어가서 /탈출 하던 그 꿀잼.... 인데 ㅠㅠ, "
" 폰...바꿔야 하나...., "
" 칭찬 많이할수도있지 머저리들아 좋은게임일수도 있는거잖아 nc소프트가 달라질수도 있지않겠냐?아까운 게임이잖냐 저건 진짜 운영만 잘하면 갓겜일수도있잖아, "
" 난 이거 공식홍보 채널인줄 알았다. 진짜 광고 오지게 하네 ?, "
" 응 안해 ㅋ, "
" 무조건하고무조건혈맹 만들고과금내용보고 무조건 접지이게 이분의 게임하는패턴, "
" 음? 오픈월드??  이게 스카이림 같은거?, "
" 골드주고 거래하는트라하를 까고 엔씨게좋다고? 정신놓으셨어요?ㅋㅋ미치겠내, "
" 어차피 나와도 뽑기게임인데 리니지게임아니라 뽑기게임, "
" 신규 캐릭터 혹시....땅콩팔러온거아님?ㅋㅋㅋ, "
" \여러분~ 이건 NC한테 돈 받은 리뷰라는 거 사실은 다 아시죠?\  윙크 하는 거 나한테 밖에 안 보이나??아니면 이렇게까지 티 나는 멘트로 리뷰 하겠냐영상 맨 앞을 일부러 presented by NC 부터시작했고 공식싸이트까지 링크해놨구만~!! 거 참 사람들 눈치 없네 ㅉㅉ, "
" 에휴..., "
" 저도 엔씨게임 리니지m이후안합니다 그리고 직접해보지도않은걸로홍보는좀그렇네요, "
" 이정도면 이름만팔고 멘트 대신 작성해준수준아니냐;, "
" 모바일게임중에 제일오래하고 광렙하는게임중에 그나마 현질안해도 게임할수있는 불쏘 레볼루션이라생각합니다. 리니지 1.2 때문에 쓴 돈이얼만지 욕나와, "
" 다한서버에하면    대규모전투때  지캐릭찾나   렉안걸릴가  서버는  안터지고?, "
" 거부반응이 들정도로 NC 찬양을 하시네 돈을 얼마나 받았길레... 사이비 종교 우상 숭배 하는줄..., "
" 얼른 사전예약뜨길, "
" 현질게임..., "
" 돈받고 광고하시나요?, "
" 디렉커스 컷은 뭐냐. 발음 씹 오진다., "
" 어차피 그냥 현 ㅈ 발러 게임의 한계, "
" 엔씨는  ㅡㅡㅡㅡ 겜회사 로 포장한    ㅡㅡㅡㅡ  사행성  핵과금 유도  도박장 임엔씨  겜좀고만 좀만들어라     리니지2 .m  도 그냥 폐기처분하고  회사문좀닫아라 ㅡㅡㅡㅡ 니들게임 나와도  할마음도  관심도없다  .    차라리  중국산 게임  될넘블로3 탈모임이나 할란다 ., "
" 이게 리뷰냐? 그냥 광고구만 ㅋㅋㅋㅋㅋㅋㅋ 어처구니가 없네, "
" 아니 그리고 먹고 살라고 광고 하는것 까진 이해하겠는데 멘트 존나 오그라드네 진짜 ㅋㅋㅋㅋㅋㅋ 적당히 좀 해라, "
" 그래픽은 어차피 폰이 아무리 좋아도 소용없음 안팅기고 돌아가야지.... 옵션에서 중간이나 최저로 나출껀데 뭐, "
" 젓까라 엔씨는 걸르는게 답이다 개저씨들이나 우와 하면서 실컷해라 어짜피 남는건 작업장과 개저씨들만 남는게임ㅋㅋㅋㅋㅋ, "
" 2.5d가 아니라 3d면 해보겟는데....., "
" 돈게임은거른다, "
" 모바일 마이 뽑아 묵었자나. 이제 피시겜으로 넘어왔었어야지 ㅉㅉ, "
" 1세대 온라인 게임 수준인데.. 과하게 칭찬 일색인것 같습니다. 공방 조차 없는 그냥 치고 박는 게임이네요., "
" 어만놈들 도박판에 끌어들이지말고 진정한 게임유저라면 엔씨게임하면 어떤일이 일어날지 경고해주세요다 알면서 빨아대네그리고 ㅅㅂ 언제까지 이런게임 할래 개돼지 호구도 정도가 있지 리니지m이 어떤지 보고도 빨아대나, "
" 아직도 엔씨를 믿나 그냥 게임기 사서 놀아요 그래픽도 더좋고 잼남몇백 몇천 몇억 날리고 후회하는사람들  줄서있는데 뭐하러 들어가서 돈날리고 후회합니까, "
" 리니지2 오픈할때 5년정도 빠져서 살았었는데 진짜 매일 겜만하고 밤새고...잼있는만큼 중독성이심함.다시는 안함., "
" 나쁜놈, "
" 어우 폰 발열 어쩔..., "
3
" 검사보다 재밌을라낭, "
" 쓰벌 오바는 그래픽이고 타격감이고 리니지 레볼루션 이상도 이하도 아니구만, "
" 자동사냥 만들고  누가죽이겠지, "
" ㅎㅎ 영혼 없는 칭찬이 여기까지 느껴집니다 예전에 나는 가수다 박미경 영혼 없는 짤 보는 기분입니다, "
" 여러분 리니지2레벌루션도 그해나온게임중 탑급의 그래픽이었어요, "
" 다들 같은 얘기하는듯.. 넘 오바하시네, "
" 어차피 현질 존나 해야할게 뻔하네 유저끼리 아이탬 하나에 어이없는 가격에 왔다갔다 하겠지 뭐ㅋㅋㅋ, "
" 어짜피 케쉬질안하면 못하는게임 만들텐데뭐, "
" 화질 그래픽만 좋으면 뭐하냐스토리는 중세물 지겹지도 않냐맨날 반복하는거 보기만해도 지겹다, "
" 노트 3 아직 사용중인데풀옵 무난하겟죠??, "
" 블소가 게임을 못 만들어서 망했나 과금빼먹을라고 운영을 똥처럼하니 ..문제지..요새 모바일 게임 못하겠다.. 사람 너무 개돼지 만들어.., "
" 엔씨 겜 진짜 제정신으로 만드나 싶다유투버들 보면 누구케릭이 10억을 들였네 20억을 들였네  하는데 이게 미친거지 유저들 농락도 정도껏해야지  전세계 어디에 이딴식으로 게임을 만드는곳이 있단 말인가 세계적인 게임사 블리자드라던지 가까이에 일본 기업만 봐도 이딴식으로 만드는 회사는 없다, "
" 이거 폰이 버틸라나,,,, "
" 와 재 밌  겠 다, "
" 엔씨 기술력은좋은데 현질이 지나쳐서 이제 하기는 싫다. 그러지말고 니들 플스로 오픈월드게임 하나 내라., "
" 게임영상도 아니고 .....뭐가 디테일이살아있는거지, "
" 더욱 선명해진 오픈 카지노 카드를 돌려라, "
" ㅆㅂ 린2 아덴섭 무료라고해서 시작했드만 두달동안 500썼다이건또 유저들 얼마나 등쳐먹을려고 그러냐, "
" 그 좋은 그래픽 덕분이 못헤요안해요~, "
" 리니지뿐만 아니라 이젠 모든 알피지게임 자체가 재미읍다, "
" 뻔하긴하지만 운영 어떻해할지모르면서 돈받았다고 까고 저정도스케일은 pc랑 비빌만한급인것도 사실이고 현모바일게임시장의 혁명인거 맞는데 다들 왜이리 ㅂㄷㅂㄷ거리심??, "
" 와ㅋㅋㅋ 진짜 돈받지않는이상 엔시 넥슨 게임을 빠는애들이있네ㅋㅋㅋㅋㅋㅋㅋ 지금시대가어느시댄데 요즘유저들이호구냐, "
" 엔씨 물고 빠는거보니 2m비제이 할 생각인가?, "
" ㅋㅋ검사m나올때도 그렇게 빨아재끼다가 현금유도 나오니까 개거품 물으셨는데 엔사에 린2m을 칭찬한다고요??참 모순적이네요ㅎㅎ, "
" 제이님은  한가지라도  진득하게  하시는걸  본적이  없는거  같아보이네요, "
" NC소프트와 넷마블은 믿고 거릅니다그것은 진리...., "
" 그런데 게임소개는? ?  언제?  ? ?  이름말하고 끝?, "
" 훌륭하니까 훌륭하다하는건데 사람들이 속고만 살았네 ㅎㅎ, "
" 3n1p는 믿고 거른다, "
" 개인적으로 궁금한건이렇게 착실하게 광고영상 잘만드시면 보통 얼마에 계약하시나요?마블처럼 홍보영상몇개 이런식인가요?아니면 일정부분 선지급되고 조회수에따라 인세티브가 있는건가요?최근본 게임 홍보 영상 중 유튜브광고로 많이나오는 왕이된어쩌고인가?그거랑 마피아 두목나오는거랑  지금 이영상이 완전 3대장이네요앞으로도 열심히 사는모습 응원하겠습니다, "
" 검사 그래픽이 더 나은듯, "
" 하...띠바 나와라 빨리 나와라!!!!!!, "
" 하긴 까더라도 해보고 까자 애들아 ㅋㅋ, "
" 그래픽은 검사가 답이다 겜좀 해봤으면 개발과정도 얼추 알겠네 그래픽 기술력은 10년동안 펄업 이길 회사 없음요 ㅋㅋㅋㅋㅋ, "
" 5000만원사용 상위 1프로 500만원 사용 상위 10프로 50만원사용 상위 50프로 20만원 이하 동네북!  노가다 열심히하면 따라갈거 같죠? 아직 엔씨를 모르나 봄 ㅋㅋ 아에 시작도 안하는걸 강추, "
" 이건 돈처먹었다고 광고하는거임???, "
" ㅋㅋㅋㅋㅋㅋㅋ뭐라고 약빠는거냐, "
" 헐겠다야 ㅋㅋㅋ, "
" 개돼지게임 씨발 아직도 기대하는새끼있냐???, "
" 리니지는 일단 거른다.....엔씨게임은 죽어도 안한다..쓰레기 게임, "
" 한번 놀라고 두번 놀라고 세번 놀란다고 진짜 놀랄걸 빼먹으신듯?? 돈독올라 캐쉬발광에 놀라 뒤집어질것, "
" 응 안해~, "
" 게임홍보 잘보고 갑니다~ 그래봣자 모바일게임인데 언리얼이니 오픈필드니 기대도안되는데ㅋㅋ 돈받은역활은 잘하신듯 여튼 돈많이버세요~, "
" 응 돈 없으면 못해 ㅋㅋ, "
" 언리얼 4라구 ㅋㅋㅋㅋㅋㅋㅋ  엔진 사서 갬 개발한 것 갔구 그래픽 쳐 좋다구 빨아주네 ㅋㅋㅋㅋ 난 또 nc에서 독자 엔진 개발한줄, "
" 70억이상 투자할 자신 없으면 하지말아라!, "
" 이것도 뽑기냐? 리니지m 유트버들 몇천만원씩 뽑기하는거 엔씨에서 지원해준거라며? 에라이, "
" 리니지2 는 게임내 유저공들여키운 켸릭 공중분해개노가다 아이템마추면 망패치로 한순간의 거품처럼 사라지고 밸런스 개무시 지금 리니지2 본섭에서도 못잡고 있는 상황블리자드 다른데로 넘어가서 유저한테 멀어졌지만엔씨는 원천적인 유저개무시에 돈만 아는 족속들인데요게임만드는 겉치레는 인정하나  pc는 섭이 거의 없어지고 재탕에 삼탕 무료섭으로 몇개 없이 명목만 남긴벌써 15년 이상이나 됐지만 밸런스 못마춰 실패한 게임의 제탕임을 아시길단언코 게임은 하시되 현질이 시작되면 돌이킬수 없는 후회만 남게 만드는 회사라는거., "
" 돈을 받았는지 안받았는지는 몰라도 이건 광고다. 너무 과찬인게 티가 남. 엔씨 극찬에 링크까지 걸고., "
" 검은사막M의 최상급 그래픽이후 초퀄리티 고사양 폭탄게임이 드디어 출시    하....  다행이 삼성엔 s10이 곧나오고 s10 프리미엄은 렘이 12니까.괜찮겠지 혹시 거의 pc정도 사양을 내지만 않는다면......., "
" ㅋㅋㅋㅋ 웃기다, "
" 이거나올때쯤 프로야구개막시즌입니다엔씨에서 야구에 돈처바를라고 유저들 이벤트다뭐다해서 과금하게 만들려는거 진자 뻔히보이네요ㅋㅋㅋ 믿고거릅시다, "
" .... ㅋㅋㅋ디렉터스 컷 보고.... 그래픽좋다고 하시는...  게임리뷰어님은... 무엇이죠?...ㅋㅋ  디렉컷 잘나와도 인게임 그레픽 좆망인게임이 한두개가아닌데요....ㅠㅠ, "
" 뭐지 이 개돼지새끼는, "
" 광고면 유료광고 딱지를 붙이세요, "
" 네 그래픽 좋네요 그치만 그래픽 좋아도 nc게임은 안할랍니다 리니지에 쓴돈이 얼마인데^^, "
" 과감하게 NC가 짜준 글 읽는 기분.  이런거 보고 어찌 구독을 눌릅니까, "
" 내가 중2때 리니지2해서 청춘을다바췄다이거나오지?내남은인생 다건다, "
" 투구도 없는 ㅂㅅ, "
" 이양반도 먹고 살아야할꺼 아닙니까.. 모른척하고 넘어갑시다., "
4
" 자꾸 디렉커스 컷 이라 하심, "
" 빨리빨리해보고싶어요 언제나옴ㅠㅠ, "
" 혹시 돈받으셨나요? 과장된 말로 포장되어있다고 느끼는데... 영상 싫어요 누르고 갑니다, "
" 어짜피 이게임도 과금게임아닙니까 NC꺼는 믿고걸러야지 어휴, "
" Nc에서 얼마나 줬는지 모르는데 당장의 이득을 위해 대를 버리네 바보탱이 ㅉㅉㅉ, "
" 죄송한데 모바일게임 전문가라는 말은 빼주세요  전문가라는 단어가 아깝습니다 ....그냥 매니아 정도가 딱 어울립니다 진짜 게임 발전성이라고 1도 없는 저 게임이 대단하다고 생각하는지 진심 궁금합니다 차라리 추억팔이 리마스터가 딱 어울립니다 저두 린1 린2 다 해본 유저고 진짜 초창기  플핏 블댄 소싱 직업 재미있게 키운 사람인데 지금 nc가  게임 회사입니까 ?ㅋㅋㅋ양심이 있으시면 ....  진짜 그러시면 안됩니다, "
" 모바일겜? 빨아주는 수준 참 ㅋㅋ 자칭 전문가 수준이 이따위니까 이런 양산형게임이 계속나온느거임, "
" 그래도 현재 린2는 월계정만으로도 할만한게임 린1과는 다르지거기에 기대를건다허튼 생각말고 차라리 월정액료를 올려라그럼 흥한다 100퍼멀리보자 엔씨, "
" 하나만 깊게 파셨으면 좋겠네요 ㅠ, "
" 응 현실은 다운그레이드  ^^, "
" 지금 겨우 영상만 보고 이렇게 빨아 제끼는겨? ㅋㅋ나는 실제이 플레이라도 해본줄?폰 바꿨다는거보니 폰값보다 많이 받았능가보다?본인 입으로 전문가라고 할 때 소름 엔씨가 게임을 못 만들어서 욕 먹는게 아닌거 알잖아?전문가 시밬 ㅋㅋ, "
" 딱봐도 인게임 그래픽이 아닌 부분이 있는데.., "
" 이분 말하는게 대본읽는거같은데 엔씨가 써줬냐?, "
" 과연 해봐야 알지., "
" 근데 cg 영상보고 핸드폰을 바꿨다어쩌고부터 너무 오바하신듯.., "
" 캬~ 엔씨는 믿거를려고 했는데.. 이렇게 또 린2 감성을 자극 해버리면 어떻하냐;;, "
" 광고 하나 하고 채널을 죽여버리시내... 돈이라도 많이 받으셨길 바래요, "
" 돈 오지게 받았나, "
" 어제 엔씨의 만행이 있었습니다. 말이 전혀 맞지 않는 행동의 패치. 유저농락 말바꾸기 전혀 신뢰가 가지않는 기업입니다., "
" 레벨업할려고? 그럼돈줘강화할려고? 그럼돈줘사냥할려고? 그럼돈줘게임할려고? 그럼돈줘게임접을려고? 그럼돈줘설치할려고? 그럼돈줘돈돈돈ㅋㅋㅋㅋ, "
" 디렉터스 컷..., "
" 저는 내년에 나올 삼송 볼더블폰 산다..리니지2M 하기 실오~~, "
" 폰 또 녹겠금..택진이형 그래도안해ㅡ3ㅡ, "
" 망겜이구나 ㅋ 리니지2  아니잖오 레블하고 비슷한데, "
" 광고숙제인 모양인데 엔시겜은 이제 뭘해도 믿을수가 없다.엔시는 돈이면 다된다 생각하겠지만. 그냥 접속하는것만으로 극악한 악군밑에 사는것같이 불안하고 걱정된다.잠시 착한척한다해도 이제 믿을수도없고.하도 극도로 나쁜짓들을 많이한 아주악질인 나쁜놈들인게 만천하가 다알고있으니까, "
" 허풍도 정도껏 치셔야지 이 따위 그래픽은 이미 검사m이 더 뛰어나면 뛰어났지 뭔 놀라 놀라 계속 놀라요 분석이라곤 1도없고 흥보용 영상 수준인데, "
" 광고 너무 티나네요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ, "
" 그래도 현질이다.., "
" 리니지2 향수유저로서 해보기는 하지만 빈부격차 과금유도하면 바로 삭제할거임, "
" 현질 게임 nc게임은 내인생에서이제 절대 손안댐, "
" 이걸빠냐, "
" 무슨 실제 플레이 영상이 뜬 것도 아니고 제작사에서 내놓은 씨네마틱이랑 데모용 영상 보고 디테일 구현했다고 칭찬을 줄줄 늘어놓네돈받고 광고하는건가 ㅉㅉ, "
" M은  머리위 M탈모 하나면  충분하다., "
" 게임시장 씹어먹는게 아니라 아재들 돈 씹어먹는 게임이겠지. 그냥 쓰레기 양산형 모바일게임., "
" 나오지도 안는게임을 ....폰게임이 잘나오면 얼마 잘나온다고.., "
" 광고네요...?;, "
" 혹시 nc에서 협찬 받으셨나요? 받으셨다면 밝히셔야 법에 안저촉될텐데요, "
" 예 또 뭔 과금으로 유저들의 사골을 끓여먹을지 기대가 됩니다 ㅋㅋㅋ, "
" 마검사 아닐까요?, "
" 자동전투만 없었으면.........., "
2
" 솔직히 그래픽같은 거 진짜 중요하게 보긴 하는데 어차피 모바일은 아직 컴퓨터 그래픽 따라잡으려면 멀어서....그래픽 아무리 좋아봐야 30프레임으로 하면 원활할 정도 아닌가노트9 쓰는데도 이런게임들은 렉 걸린다최적화만 잘해줬으면, "
" 리니지2를 비난하는 글만 가득한데요..그럴거면 님들이 만들어보세요 왜 리니지2레볼루션에 현질유도를 리니지2m이 뒤집어써야합니까?전nc소프트를 믿습니다. 부디 리니지2m을 비난하지마십쇼, "
" 실망 제이, "
" ㅋㅋ 애새기들 지들 안하면 겜 망하는줄 암  응 니들 안해도 엔씨 잘나가 그리고 재미 있는건  사실이야~~, "
" 어짜피 그들만의 리그 일뿐, "
" 게임 잘만들고 또 아인하사드같은거 낼듯.. 월 20만원 결제는 소과금이라고 생각하는 엄청난 회사.., "
" 그래봤자 모바일이고 최악의 과금회사 엔씨입니다. 게임성따위는 개나줘버리고 그저 유저들 돈이나 어케 뽑아먹을까 생각만 하는 회사죠...전~~~~~~~~~~혀 기대가 안되네요 어차피 아무리 그래픽이 좋아도 모바일이고 그건 플레이나 순수 게임성을 따지면 피씨나 게임기를 능가할수가 없으니까.., "
" 저런 슬롯머신은 저런것만 하는 유저층이 있지않음? 오덕겜 하는 오타쿠 처럼 슬롯머신 좋아하는 린져씨들용 같은데, "
" 부끄러운줄 알아야지, "
" 돈 빨리는거 무서워서 할 자신이 없어,,ㅠㅠ, "
" 그래픽이 좋고 게임성 좋다고 쳐도 뭐하나. '리니지'인데...아이템 몇 천 만원 뽑기 등등 현금 쏟아야될 게 수 천 가지겠지., "
" 이새끼 돈처먹었다에 올인한다ㅋㅋㅋ 3N겜은 절대안하다 자기채널 키울 생각없이 돈처먹네, "
" 딱봐도 초반에 개돼지들 돈이나 수금하고 사라질 게임이구만 길게도 엔비어천가를ㅋㅋㅋㅋ, "
" 리니지2 애미~ 엔씨갬은 믿고 거르는 게임... 새로운 게임 출시안하면 안할거다. 우리 택진이 지갑들이나 열심히 해라. 니들 돈 니들이 맘대로 쓰는데 먼 상관이냐고?상관안해..돈 많다는데 우쩐다냐... 그래도 새로나올 내 게임 제작비 주겠다는데 우리 호구들 파이팅~ 너희들이 있어 그래도 한국 게임사들이 밥먹고 살지.. 너희들이 진정한 애국자들이다. 로아가 1000억투자라니까 엔씨는 그 이상 필요하겠지... 오늘도 파이팅할게 호구들아~ ㅎ, "
" 좋ㅣ싫 어가 한표차 박빙, "
" 제이님도 돈받고나면 리뷰가 이렇게 변하는군요.. 하.. 실망 ㅋㅋ, "
" 그래봤다 도박게임~~~ ㅅㅂ 한국은 뭐 이딴 게임빡에 못만드나?~~, "
" 현질 천만원정도 하면 재밌겠네,,, "
" 패키지나오면 리뷰좀부탁해요 믿고거를수있게.., "
" 제이가 nc겜을 칭찬하다니   광고넥...ㅋㅋ 역시 돈앞에선, "
" 아래 댓글 부정오지네 그리고 오픈하면 죄다 캐릭명 선점할려고 월차내고 밤샐꺼면서 이기적이네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ, "
" 캐쉬템 무서워서 엔씨겜 하기가 무서웡 ㅠㅠ, "
" 오토 돌리고 티비볼거면서 그래픽은 .., "
" ㅋㅋㅋ 모바일 게임 전문가래 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ, "
" 뭔놈의 리니지가 왜이리 많냐..뭐 잘난 겜이라고 .., "
