title,contents,date
진짜 장비던전 나가기 만들어 주던가 오토(사냥) 기능 없애라. 사람들이 양심이 없어.,투력 개조또 안 되면서 기어 들어와 민폐 끼치는 신발놈들 다 뒤졌으면 좋겠네.,2019. 6. 1. 토요일 10:10
결정체통합이벤트부탁드려요,이거좀하자,2019. 6. 1. 토요일 09:01
파티구성할때 비밀번호설정가능하게해주세요,요청수락하는것보다 비밀번호설정하고 잠금팟이 더 효율적이라 생각됩니다.,2019. 6. 1. 토요일 03:18
닉네임 변경권 재판매 해주세요,ㄱㄱ ,2019. 6. 1. 토요일 01:07
닉네임변경권 복구해주세요 ㅜ,기간 끝나기 전에 수차례 변경을 시도했는데 오류 뜨면서 안되던데 다시 줘야하는거 아닌가요?,2019. 6. 1. 토요일 00:16
탱커는 오르펜 탈리 못먹음?,기여도 1등 만 보상 주고 컨텐츠 대부분이 딜량으로 컨텐츠 만드네....,2019. 5. 31. 금요일 23:16
몬스터 코어가. 갑자기. 안들어 와요 ㆍ 보스 잡아도. 안들어오고. 필드몹 잡아도. 안들어. 옵니다,정상 복구  해주세요.  오늘  아까도 그랬는데  또. ㅠ,2019. 5. 31. 금요일 22:06
900일이벤트하고도욕먹는다,900아덴 줘야지 90아덴이모냐  너희들참모자르다 하고도욕먹는다ㅋㅋ,2019. 5. 31. 금요일 20:19
특성강화 이벤트좀합시다 아데나가없어요,50% ㄱㄱ,2019. 5. 31. 금요일 19:47
900일이라고 90만아데나??휴...,언제쯤 유저들을 만족시킬까??,2019. 5. 31. 금요일 18:07
질문있습니다.,"신섭오픈, 새로운 종족 탄생",2019. 5. 31. 금요일 17:24
900일이면 ?,짜증날때 짜장면,2019. 5. 31. 금요일 16:06
고급물약좀 살수있게 해주세요 ~,쟁을 해야되는데 약이 없어서 쟁을 못합니다 ~ ,2019. 5. 31. 금요일 13:32
노란색탈리스만선택상자서왜얼어붙은심장하고,신탁의책인가 왜선택안되는데 정던탈리스만자체가거의안나오는판에,2019. 5. 31. 금요일 12:17
2차전직 라벨 로버스트의 엘리온...퀘진행이 안댐..,채집 던전에서 잡으라고. 써잇는대  던전 몇번을 돌아댕겨도. 라델 로버스트의 엘리시온  안나옴니다...ㄱ,2019. 5. 31. 금요일 11:17
강화 이벤트 해주세요,매번 실패를 하다 보니 게임이 하기 점점 싫어 지네요,2019. 5. 31. 금요일 10:35
탈리스만장착갯수 아티팩트세트갯수늘려라,언제까지건의해야하냐도대체,2019. 5. 31. 금요일 09:41
이벤관련 포인트,보세요 왜 개선 안해주세요. 사람약올려요?  그럼이벤종료하면 눈에 안보이게 만들던가요.욕하고싶은데욕 안되니까 참겠지만.해줄꺼에요 말꺼에요?,2019. 5. 31. 금요일 01:06
필드보스 보상을 개선해주세여,요즘 전당 나오고 아예 한 동맹에서 24시간 메크로 돌리며 전당 인원 90명대로 맞혀서 사냥하는데여 ,2019. 5. 30. 목요일 23:53
어스웜,대체 언제다시 열거임?,2019. 5. 30. 목요일 22:49
업댓좀해주세요,토파즈상점에 희귀탈리 선택상자에 흰색과 검정이 없어요,2019. 5. 30. 목요일 19:10
특성강화 이벤트한번해주세요,50%%%%%%%%,2019. 5. 30. 목요일 18:46
아스문트 난이도 대폭 내려야합니다,대다수의 유저들이 아스문트 잡고 획득하는거 코어 1개입니다,2019. 5. 30. 목요일 18:12
[듀얼클래스시스템] 타종족에서 카마엘로 변경만 가능하게 해야합니다,저또한 블댄 키우는 입장에서 솔직히 듀얼클래스시스템 나오면 활쟁이로 변경시 더 편하고 좋습니다,2019. 5. 30. 목요일 18:05
수십번 문의 합니다,이번업데이트 이후로 이메일 연동 계정으로 로그인을 할수가 없습니다 ,2019. 5. 30. 목요일 17:43
진행중인 이벤트 정답 변경 건의,안녕하세요,2019. 5. 30. 목요일 13:26
만능코어-구칭호-구 코스튬,언제 나오나요.? 구칭호좀 다시.얻게해주세요. 드래곤 슬레이어 루돌프 사슴코는 등등 구 발렌타인 복장,2019. 5. 30. 목요일 13:09
즐겨찾기한 친구가 삭제 되었네요 ㅠ,즐겨찾기해도 삭제가 되는거면 즐찾기능은 왜있는건가요 ㅠ,2019. 5. 30. 목요일 13:03
이상한나라앨리스이벤 아템더구입시키게하던가,이벤종료시켜라 머하자는거고 인벤자리만차지하고,2019. 5. 30. 목요일 13:02
정복자의전당 구매상품건의요,레벨 제한걸려서 못쓰는 상품은 구매를 못해야 하는거  아닌가요??,2019. 5. 30. 목요일 12:21
운영자님 혈던지원 관해 부탁 건의드려요,"혈던지원, 홍보창을 띄워놓고 곧바로 클릭했는데도  곧바로 팅겨나오길 수우십번,,,",2019. 5. 30. 목요일 11:13
제작좀.,혈원끼리만이라도 제작의뢰할수있도록 좀 해주세용,2019. 5. 30. 목요일 09:01
짜증,"화면이 빤짝거려요.  특히나 정던이동헐때  멈추더니 쫌이따 팅! 다시 접.  또,,.   아 짜징나",2019. 5. 29. 수요일 23:31
이벤보스 수를 늘려주던가 이건 뭐 시간 쫌만 늦어도 입장불가내요,보스 처치됐다고 못들어간다는데,2019. 5. 29. 수요일 23:13
발라카스 오르펜 채널 해결하세요.,사람은 미어터지는데 오르펜 채널도 없어서 기요틴까지 만석입니다,2019. 5. 29. 수요일 23:06
팅기는것좀 고쳐라,겜을 하라는거냐? 말라는거냐?,2019. 5. 29. 수요일 22:36
스크롤퀘+주간퀘 한번에 할수있는 시스템 만들어주세요,스크롤퀘 s+a+주간퀘까지 선택적으로 한번에 할수 있는 시스템 만들어주세요.,2019. 5. 29. 수요일 15:03
이번 명전 이벤트에 불법프로그램 사용 캐릭 선정을 철회해주시길 바랍니다.,운영자님,2019. 5. 29. 수요일 12:25
47퍼 성공률,47퍼 성공률이거 사기맞제?ㅋㅋㅋ룬 열번넘게 햇는데 한번을 성공 못하네ㅋㅋㅋㅋ,2019. 5. 29. 수요일 12:25
운영자님~? 불법프로그램 사용자가 명전 참가 팀으로 선정되는 건 좀 아니지 않나요??,얼마전 불법프로그램 사용으로 정지 처분 받은 몇몇 분들이,2019. 5. 29. 수요일 12:15
2차전직,비밀의숲하층 상급 마물의정수 라는게 대체있기나 한겁니까 몇만마리를 잡어야 나옵니까?,2019. 5. 29. 수요일 11:54
*** 좀바까라,몬코가방에 칸수는 40개정도 비엿는데 칸수부족뜨는데 상자까면 왜 칸수부족뜨는데 나올꺼는 토끼코어뿐인데,2019. 5. 29. 수요일 11:51
해상도 확인요청,안녕하세요.,2019. 5. 29. 수요일 11:45
카마엘 사전등록 페이지 링크가 안됩니다,카마엘 사전등록 페이지 링크가 안됩니다.,2019. 5. 29. 수요일 10:20
전문화 몰드 건의요,무기몰드나  방어구 몰드나 똑같은 재료가 들어가는데 왜 굳이 분류하나요? ,2019. 5. 29. 수요일 08:51
담업뎃때 연금술의서 좀 수정좀 해주시죠~, ,2019. 5. 29. 수요일 08:46
발라카스서버에 프리돔혈맹에무덤매크로입니다,정지 먹여주세요,2019. 5. 29. 수요일 03:39
의뢰 물품 한번에 받기 기능좀,의로 받는것이던 의뢰 등록 하고 의뢰 제작 끝난 물품들 제작끝나면 한방에 받기좀 만들어주세요. 일일이 클릭해야되서 귀찮아요 ㅠㅠ,2019. 5. 29. 수요일 01:00
폴라쿠폰,사용도 안했는데 이미사용한 쿠폰으로 나와요ㅜㅜ,2019. 5. 28. 화요일 23:40
몇 분전 악세 강화했는데..,축 은 하나 만들고 창고 쟁여놀고 시작했는데 안보여서 그러는데...,2019. 5. 28. 화요일 23:18
특성강화 이벤트좀합시다 50%%%%%%%,한번해보자 ,2019. 5. 28. 화요일 17:47
혈맹창고 포상요청...,군주도 사람이다... 혈원들이 포상요청 하면,2019. 5. 28. 화요일 15:52
삼성 덱스 사용못한지 5주차,자 언제쯤 고쳐 줄지 한번볼까나~~,2019. 5. 28. 화요일 14:32
이벤트 성의 있어 보이게 만들기!,,2019. 5. 28. 화요일 13:42
앨리스 이벤트템 판매 가능하게 해주세요,안녕하세요 ,2019. 5. 28. 화요일 13:40
낚시터 랩쫌 올려주세효,낚시터   물고기 랩좀 올려줘효...랩올리기   너무힘들어효  ㅜㅡㅜ,2019. 5. 28. 화요일 11:19
거래소개선,당신들모니터링은합니까,2019. 5. 28. 화요일 08:44
스킬 온오프기능,밖에서도 클릭할수있게 해주세요,2019. 5. 28. 화요일 08:33
"창,쌍칼은 초월시 동일템으로 구분해주세요",특강은 아무 문제 없으나,2019. 5. 28. 화요일 01:23
몬스터소환석,강퇴기능 만들어주세요ㅠㅠ,2019. 5. 27. 월요일 22:29
복구기한지난 삭제케릭 복구할수있는 패키지만들어주오, 카마엘나오면 케릭도 바꿀수있다는데,2019. 5. 27. 월요일 20:48
메인퀘 안됨,메인퀘가 안되연,2019. 5. 27. 월요일 18:10
"요새전, 공성전 각인 부군주도 가능하게 개선바람.",요새전을 하던 공성전을 하던 성물각인은 군주에게만,2019. 5. 27. 월요일 18:09
도구 키트 가격 좀 내려줘요,도구 키트 가격 좀 내려줘요,2019. 6. 4. 화요일 10:11
서버 이전끝난지도 좀 됬는데 닉네님 변경권좀 팔아주세요,ㄱ,2019. 6. 4. 화요일 03:53
아이폰 결제오류,결제만 되고 아무것도 안들어옴...,2019. 6. 4. 화요일 01:06
도감  카트 모아둔것이  없어졋어여 ,도감  카트 모아둔것이  없어졋어여  모아서 한꺼반에  할려한것인데  왜  없어진것인지  .. ㅜ ㅜ,2019. 6. 4. 화요일 00:39
확인좀해주시길,장비각성3단게한방구매를해서.장비각성3단게완료를했는데 마력석3도없구.승급석도 구매했는데 .......,2019. 6. 4. 화요일 00:31
장비각성 돌려줘,장비각성3단게 구매하고승급석까지 구매했는데 .완료만뜨고 없네요........ㅣㅣ,2019. 6. 4. 화요일 00:05
삼성덱스 사용 못한지 6주차,언제까지가나 봅시다~,2019. 6. 3. 월요일 21:26
황금요정 아가시온!, ,2019. 6. 3. 월요일 17:46
원정행동력,이겜하면서 버그땜 에  답답하고 짜증나도 왠만하면 참고 겜하는데 어떨땐 내가 이걸 왜하나 이런 생각도 많이들고... 참 할말이 많지만  어디 버그가  한두개 여야지 .... 운영자 분들 일점 합시다 제발 쫌 ...지난주 수요일 이후 원정 안가서 행동력 풀이었는데 ,2019. 6. 3. 월요일 17:29
2차 전직 관련,카마엘이 나오는데,2019. 6. 3. 월요일 16:13
넷마블..사게꾼**들,강화..29강에서,2019. 6. 3. 월요일 12:51
아티팩트세트칸수2칸이라도늘리고,탈리스만도2칸만늘려라 부족하다효과보면서할려니,2019. 6. 3. 월요일 12:15
꼭 봐주십쇼,현재 이메일 연동 로그인이 문제가 된다고 수없이 고객센터에 문의를했는데 제가 힘든걸 바라는거도 아니고 이메일 연동 비밀번호 입력방식 숫자없이 입력 가능하게바꿔주십쇼 제글을 삭제 하시는거 같은데 계속 올리겠습니다,2019. 6. 3. 월요일 11:59
로그인 팟업창.. 삭제,로그인시 상시 뜨면 2가지 팟업창 삭제 해주시면 안돼나요??,2019. 6. 3. 월요일 11:46
엘리스 이벤트기간 3일이라도 더 늘려주세요,처음에 인원제한으로 안되고,2019. 6. 3. 월요일 11:12
복귀 유저를 위한...,배트맨 아티팩트.. 상점에서 라도 살수잇게 파라주시던가 ... 어떻게좀해주세여.  카드가 텅텅 비엇어여,2019. 6. 3. 월요일 10:26
필드사냥. 하얀토끼 나와서. 매일 사냥하고 싶어요 ㅎ,토끼. 넘귀여워요 ㆍ 필드사냥 에서. 톡 튀어나와  넘좋아요~^^,2019. 6. 3. 월요일 01:20
*먹어라 *** ***들아,18   너 ㅁ들  ,2019. 6. 3. 월요일 00:25
무료뽑기 건의,무료뽑기 프리미엄장비 상자랑 아가시온 소환상자 방식을 쿨다운이아닌,2019. 6. 2. 일요일 21:52
미안하다 칭호가방에있었다,ㅋㅋ,2019. 6. 2. 일요일 20:21
사냥의마스터칭호활성화가안된다,빨랑해놔라 장난하냐 꽉마,2019. 6. 2. 일요일 20:19
허수아비 사용자 스텟 수정,레볼루션에서 공식적으로 명중이나 회피 관통 크리 물공,2019. 6. 2. 일요일 19:25
공성전,진짜 너무 하는거 아닙니까? 하루종일 사냥하면 뭐합니까 ,2019. 6. 2. 일요일 18:53
전투덱 좀 늘려주세요,장비 종류 늘어난만큼 전투덱도 좀 늘려주세요,2019. 6. 2. 일요일 18:38
렉걸림 화면깨짐 자주팅김 현상,노트9 8램쓰는유저 입니다,2019. 6. 2. 일요일 16:15
2차 전직 관련,카마엘 & 듀얼간이 시스템이 나오는데,2019. 6. 2. 일요일 15:35
펫마법초월확율,"50%확율인 희귀펫 마법초월. 65개(11회).>>>>2단계. 성공.  소모된 아데나,AP 물약 생각하면 말도 안됨.",2019. 6. 2. 일요일 12:00
요세 늘리자ㅡㅡ,서버통합은 하면 ,2019. 6. 2. 일요일 10:35
1/1문의 아직도 안대자나요 또에러네,1/1문의안대서 따로 레볼 담당전화까지해서 담당자분이랑 말하고 취소해준다고 인벤검색까지 다하고 지금 템도 안빼가고 돈도 환불안해주고 몇일쨉니까 지금 장난합니까  1/1 대지도 않는데 댄다고 거짓말하지마시고 관리나 똑바로 해주세요,2019. 6. 2. 일요일 02:54
이벤트코어 놓친거 구매가능하게 해주세요,코어상점에 판매좀 해주세요,2019. 6. 2. 일요일 02:42
동맹원정중보잡을때 밟히잖아 안움직이잖아,아이시바,2019. 6. 2. 일요일 01:07
명예전당 매칭좀 전투력으로 바꿔봐 조가치 운영하지말고,명예전당 매칭좀 바꾸자,2019. 6. 1. 토요일 23:17
야 아 사발넘들아,야  이 **념들아  ***  **  **들,2019. 6. 1. 토요일 19:51
블덴 2차스킬 스킬쿨초기화 패시브 관련,"패시브 잘터집니다 초기화 잘되구요 그런데 한가지 흠이 버프스킬은 쿨초기화되면 끝났을시 바로바로 잘 사용합니다, 하지만 액티브 스킬들은 초기화만 되고 기존남았던 쿨이 지나야만 스킬을 사용합니다. 액티브 스킬은 쿨돌면 바로바로 사용하도록좀 수정부탁드립니다. 오토 돌리면서 누가 일일이 눌러서 사용하지는 않아요 꼭좀 수정해주세여",2019. 6. 1. 토요일 19:31
개인딜량차이에따른 보상 없애라,누군 딜량 못뽑아서 못뽑냐? 케릭이 딜을 못뽑는케릭인데 어쩌라는거야,2019. 6. 1. 토요일 19:26
동맹원정 개인행동력,동맹원정컨텐츠 각스테이지별 입장을 해야만 보상을 받을수 ,2019. 6. 1. 토요일 19:00
전문기술 AP 턱없이 부족합니다..,솔직히 제작을 하려고 조금만 채집해도 AP는 바닥이고...뭘 할수가 없네요,2019. 6. 1. 토요일 17:55
혈맹주화. 주세요 ㆍ 사냥을 할수. 없어요^^,주화가. 있어야   놀지요 ㅠ~^^,2019. 6. 1. 토요일 14:52
버그,편지함에 있는 집혼석이 가방이 여유가 있는데도 가방 공간이 부족 하다고 나오고 이벤트로. 나온 랜덤 카드상자는 왜 또 집혼가방 공간이 없어서 안 열린다고 하는지..  집혼석하고 카드 뭔 관계가...있는지.. 재부팅해두 같은상태네요.,2019. 6. 1. 토요일 12:29
진짜 장비던전 나가기 만들어 주던가 오토(사냥) 기능 없애라. 사람들이 양심이 없어.,투력 개조또 안 되면서 기어 들어와 민폐 끼치는 신발놈들 다 뒤졌으면 좋겠네.,2019. 6. 1. 토요일 10:10
결정체통합이벤트부탁드려요,이거좀하자,2019. 6. 1. 토요일 09:01
파티구성할때 비밀번호설정가능하게해주세요,요청수락하는것보다 비밀번호설정하고 잠금팟이 더 효율적이라 생각됩니다.,2019. 6. 1. 토요일 03:18
닉네임 변경권 재판매 해주세요,ㄱㄱ ,2019. 6. 1. 토요일 01:07
닉네임변경권 복구해주세요 ㅜ,기간 끝나기 전에 수차례 변경을 시도했는데 오류 뜨면서 안되던데 다시 줘야하는거 아닌가요?,2019. 6. 1. 토요일 00:16
탱커는 오르펜 탈리 못먹음?,기여도 1등 만 보상 주고 컨텐츠 대부분이 딜량으로 컨텐츠 만드네....,2019. 5. 31. 금요일 23:16
몬스터 코어가. 갑자기. 안들어 와요 ㆍ 보스 잡아도. 안들어오고. 필드몹 잡아도. 안들어. 옵니다,정상 복구  해주세요.  오늘  아까도 그랬는데  또. ㅠ,2019. 5. 31. 금요일 22:06
900일이벤트하고도욕먹는다,900아덴 줘야지 90아덴이모냐  너희들참모자르다 하고도욕먹는다ㅋㅋ,2019. 5. 31. 금요일 20:19
특성강화 이벤트좀합시다 아데나가없어요,50% ㄱㄱ,2019. 5. 31. 금요일 19:47
900일이라고 90만아데나??휴...,언제쯤 유저들을 만족시킬까??,2019. 5. 31. 금요일 18:07
질문있습니다.,"신섭오픈, 새로운 종족 탄생",2019. 5. 31. 금요일 17:24
900일이면 ?,짜증날때 짜장면,2019. 5. 31. 금요일 16:06
고급물약좀 살수있게 해주세요 ~,쟁을 해야되는데 약이 없어서 쟁을 못합니다 ~ ,2019. 5. 31. 금요일 13:32
노란색탈리스만선택상자서왜얼어붙은심장하고,신탁의책인가 왜선택안되는데 정던탈리스만자체가거의안나오는판에,2019. 5. 31. 금요일 12:17
2차전직 라벨 로버스트의 엘리온...퀘진행이 안댐..,채집 던전에서 잡으라고. 써잇는대  던전 몇번을 돌아댕겨도. 라델 로버스트의 엘리시온  안나옴니다...ㄱ,2019. 5. 31. 금요일 11:17
강화 이벤트 해주세요,매번 실패를 하다 보니 게임이 하기 점점 싫어 지네요,2019. 5. 31. 금요일 10:35
탈리스만장착갯수 아티팩트세트갯수늘려라,언제까지건의해야하냐도대체,2019. 5. 31. 금요일 09:41
이벤관련 포인트,보세요 왜 개선 안해주세요. 사람약올려요?  그럼이벤종료하면 눈에 안보이게 만들던가요.욕하고싶은데욕 안되니까 참겠지만.해줄꺼에요 말꺼에요?,2019. 5. 31. 금요일 01:06
필드보스 보상을 개선해주세여,요즘 전당 나오고 아예 한 동맹에서 24시간 메크로 돌리며 전당 인원 90명대로 맞혀서 사냥하는데여 ,2019. 5. 30. 목요일 23:53
어스웜,대체 언제다시 열거임?,2019. 5. 30. 목요일 22:49
업댓좀해주세요,토파즈상점에 희귀탈리 선택상자에 흰색과 검정이 없어요,2019. 5. 30. 목요일 19:10
특성강화 이벤트한번해주세요,50%%%%%%%%,2019. 5. 30. 목요일 18:46
아스문트 난이도 대폭 내려야합니다,대다수의 유저들이 아스문트 잡고 획득하는거 코어 1개입니다,2019. 5. 30. 목요일 18:12
[듀얼클래스시스템] 타종족에서 카마엘로 변경만 가능하게 해야합니다,저또한 블댄 키우는 입장에서 솔직히 듀얼클래스시스템 나오면 활쟁이로 변경시 더 편하고 좋습니다,2019. 5. 30. 목요일 18:05
수십번 문의 합니다,이번업데이트 이후로 이메일 연동 계정으로 로그인을 할수가 없습니다 ,2019. 5. 30. 목요일 17:43
진행중인 이벤트 정답 변경 건의,안녕하세요,2019. 5. 30. 목요일 13:26
만능코어-구칭호-구 코스튬,언제 나오나요.? 구칭호좀 다시.얻게해주세요. 드래곤 슬레이어 루돌프 사슴코는 등등 구 발렌타인 복장,2019. 5. 30. 목요일 13:09
즐겨찾기한 친구가 삭제 되었네요 ㅠ,즐겨찾기해도 삭제가 되는거면 즐찾기능은 왜있는건가요 ㅠ,2019. 5. 30. 목요일 13:03
이상한나라앨리스이벤 아템더구입시키게하던가,이벤종료시켜라 머하자는거고 인벤자리만차지하고,2019. 5. 30. 목요일 13:02
정복자의전당 구매상품건의요,레벨 제한걸려서 못쓰는 상품은 구매를 못해야 하는거  아닌가요??,2019. 5. 30. 목요일 12:21
운영자님 혈던지원 관해 부탁 건의드려요,"혈던지원, 홍보창을 띄워놓고 곧바로 클릭했는데도  곧바로 팅겨나오길 수우십번,,,",2019. 5. 30. 목요일 11:13
제작좀.,혈원끼리만이라도 제작의뢰할수있도록 좀 해주세용,2019. 5. 30. 목요일 09:01
짜증,"화면이 빤짝거려요.  특히나 정던이동헐때  멈추더니 쫌이따 팅! 다시 접.  또,,.   아 짜징나",2019. 5. 29. 수요일 23:31
이벤보스 수를 늘려주던가 이건 뭐 시간 쫌만 늦어도 입장불가내요,보스 처치됐다고 못들어간다는데,2019. 5. 29. 수요일 23:13
발라카스 오르펜 채널 해결하세요.,사람은 미어터지는데 오르펜 채널도 없어서 기요틴까지 만석입니다,2019. 5. 29. 수요일 23:06
팅기는것좀 고쳐라,겜을 하라는거냐? 말라는거냐?,2019. 5. 29. 수요일 22:36
스크롤퀘+주간퀘 한번에 할수있는 시스템 만들어주세요,스크롤퀘 s+a+주간퀘까지 선택적으로 한번에 할수 있는 시스템 만들어주세요.,2019. 5. 29. 수요일 15:03
이번 명전 이벤트에 불법프로그램 사용 캐릭 선정을 철회해주시길 바랍니다.,운영자님,2019. 5. 29. 수요일 12:25
47퍼 성공률,47퍼 성공률이거 사기맞제?ㅋㅋㅋ룬 열번넘게 햇는데 한번을 성공 못하네ㅋㅋㅋㅋ,2019. 5. 29. 수요일 12:25
운영자님~? 불법프로그램 사용자가 명전 참가 팀으로 선정되는 건 좀 아니지 않나요??,얼마전 불법프로그램 사용으로 정지 처분 받은 몇몇 분들이,2019. 5. 29. 수요일 12:15
2차전직,비밀의숲하층 상급 마물의정수 라는게 대체있기나 한겁니까 몇만마리를 잡어야 나옵니까?,2019. 5. 29. 수요일 11:54
*** 좀바까라,몬코가방에 칸수는 40개정도 비엿는데 칸수부족뜨는데 상자까면 왜 칸수부족뜨는데 나올꺼는 토끼코어뿐인데,2019. 5. 29. 수요일 11:51
해상도 확인요청,안녕하세요.,2019. 5. 29. 수요일 11:45
카마엘 사전등록 페이지 링크가 안됩니다,카마엘 사전등록 페이지 링크가 안됩니다.,2019. 5. 29. 수요일 10:20
