date,fulltxt
2019.05.17. 10:31,장기 미접속 계정 내 캐릭터 이름 초기화 요청제목과 같이 장기 미접속자 캐릭터 이름 초기화하는 방안에 대해 건의 드립니다.원하는 캐릭명을 하고 싶은데 섭초에 만들어놓고 1년 넘게 접속 안하는 캐릭들이 많습니다. 다른 게임사의 운영방식좀 참고도 해주시구요.지금 현재 있는 유저들의 지속적 유지 및 신규 유저를 끌어들이기 위한 노력이 필요해 보입니다.
2019.05.17. 09:53,무라마사 마법부여좀...무라마사 마법부여 왜 없나...
2019.05.16. 18:38,요리처먹는데 30분씩 걸려 미치광이새기들아처먹엇는데 안처먹은거 처럼 보여...
2019.05.16. 07:52,MVPMVP 종류별로 케릭당 1일 1회 한정으로 잡을수있게 해줘야 신규유저나 라이트유저들도 잡을수 있을거라 봅니다요새 채널들 보면 독식이 너무 많아서 부자들만 더욱더 부자가 되는 현상이 발생합니다검토좀 해봐요
2019.05.16. 01:13,전투의 스페셜리스트미케같이.버프많은.케릭한테 좋은건데 캐스팅은 길고 이미르쓰면 계속리셋되서 할때마다 다시지정하고 저장은 솔찍히 되야할거아님ㅡㅅㅡ
2019.05.15. 20:03,최적화가 시급합니다...저프레임모드건 고프레임모드건 핸드폰 발열현상이 심각해졌고..?PC프로그램돌려서 게임하시는분들 의견은 모르겠는데...?일단 쭉 모바일로 게임한 입장에선.... 핸드폰에 부담이 너무 많이 가서 강제 손-절 당하게 생긴거같은데..?아니 뭐 그래픽 좋아지고 그런건 좋은 현상인데 이 게임이 모바일게임인지 피씨게임인지 정체성을 살짝 잃어가는 느낌이네요?결론 : 발열현상이랑 렉좀 줄여주세요?추가 : 같은 길드원분이 노트9 사용하신다는데 고프레임하면 끊기는건 없지만 발열현상이 심하다고 합니다.??제가 갤S8+ 쓰는데 기본해상도로 라그 초기부터 별 렉없이 잘해왔고.. 근데 이번 패치 이후 저프레임이여도 발열이 심하네요
2019.05.15. 19:50,"혜안 돌려줘요...불편해 ... 너무 불편함..100개모아놨는데 쓰지도못하고 버리고...사냥해도 원하는 재료아이템 얻지도못하고 이상한 당근,버섯같은게 나오고..?뭡니까이게 차라리 헤안 돌려줘요.이건좀 아닌거같음."
2019.05.15. 19:32,중국만 5번뽑으면 한번확정이라며국내섭은 안할껀가???이럴땐 중국이 부럽네어짜피 슬슬하는거바람의나라 나오면 라그도 빠이
2019.05.15. 09:19,모험수첩 앨범 기능 사용 후 앱 강제종료안녕하세요.업데이트 후 명소가 새로 생겨서 사진을 찍고앨범에서 해제하려 하는데 두세페이지 이상 넘기면 앱이 아예 강제종료 됩니다.?사용하는 기기는 아이패드 프로입니다.
2019.05.14. 21:50,이번 업데이트 폰 유저저프레임모드로 하면 이전정도 속도가 나와야 하는데 끊기네요결국 무조건 고프레임을 해야 한다는건데 발열+전력소모 심각합니다. 이부분 수정 안하면 폰유저들 엄청 불편할거같네요.
2019.05.14. 20:17,채팅창을 킨 상태로 가방이나 다른 것들을 키면 모든 채팅이 겹쳐져서 보입니다.수정해주세요.
2019.05.14. 19:45,카던보상에대해패치전 월요일 카던을 클리어한 인원에대해서는별도 보상없는건가요?
2019.05.14. 17:18,그럼 땅속성은 변경 불가능한가그럼 땅속성은 어떻게 바꾸라는거죠
2019.05.14. 09:56,"몬스터 도감 업데이트 좀 해주세요 게임상 들어가면 모험수첩으로 몹 찍어가며 확인 할수 있긴 하지만 공카에서도 확인 가능했으면 좋겠습니다. 라그 인벤도 업데이트 안해주고 멈춰 있고, 공카에서라도 부탁해요~"
2019.05.12. 12:25,만렙좀 풀어 주시죠언제까지 묶을껀가요 퀘도보니 렙9999 최종이던데접기전에 풀어다오
2019.05.11. 19:39,업데이트 좀 해주세요.업데이트 안 하는 이유가 혹시 서버 종료할려고 그러는건 아니죠?귀찮으니 그냥 유지만 하다가 돈 벌이 안 되면 종료시키려는 그런거 아니죠?그 동안 버그 터지거나 문제 생겼을때 복구하려는 비용이 많이 드니까아예 업데이트를 안 할려는거 아닌가 의구심이 들구요.불안하네요 서버종료할까봐..이럴거면 그냥 중국섭에 편입 되게 해주면 참 좋은데..
2019.05.09. 16:47,업뎃할게없으면 페가수스나 탈거좀 판매해줘요업데이트는 이제 관심 끊은거같고코인팔 생각밖에 없는거같은데페가수스나 다시 파세여싫으면 고양이탈거라도..어차피 나는 못뽑을거아는데그래도 팔아줘 쫌
2019.05.08. 16:12,업데이트 업데이트 좀 해달라
2019.05.08. 01:23,에드온싱고 함니다59a채널 19.05 로그기록 보시고 조치 부탁드려용
2019.05.07. 09:03,소울바이트 마부생기게해주세요..마법부여로 강해지게 해주세요...
2019.05.07. 02:24,"애드론 의심자 16a채널""추억궁수""이사람 확인돔 해주세요 진짜아무리 파리운이 좋다고해도 보스뜨고 3-5초 내에 찾아서 다잡는게 ?이해가안됨 ?6마리 경쟁했는데 ?보스 냄새도 못맡음 ㅋㅋㅋㅋ ?애드온 요즘 잡긴 합니까??"
2019.05.06. 10:10,아니..... 자동전투계산법이 이상한데.....저기요...... 이제 10시인데 5시에 초기화된다면서요??? 근데 왜 400분이나 자동전투가 완료된거죠?? 다른케릭터는 자동사냥 돌리지도 않았는데 100분 넘게 되있다고 뜨고....... 버그면 빨리 업데이트 하세요
2019.05.06. 09:24,아니 이거 쿨타임도 있나요어떻게 만든거임  재사용시간이 몇초이길래
2019.05.05. 23:01,라그나로크m 서버종료는 언제하나요?궁금합니다.
2019.05.05. 15:36,질풍 어뷰즈 이런무기들...다시분해가능하게해줄순없나....팔리지도않고..재료라도 회수해서 다른걸 만들기라도 할수있게해달란말이다!!!
2019.05.05. 14:19,"한정특전 - 공용창고에 장비를 넣는 레벨 제한도 없애주세요한정특전 미사용시 - 공용창고 빼고 넣는 건 전부 안됨 (렙40미만)한정특전 사용시 - 공용창고 빼는 건 가능. 넣는 건 안됨 (40미만)40이상시 - 한정특전 상관없이 사용가능뭔가 엄청 이상하지 않습니까?한정특전을 썼으면 빼고 넣는 게 마음대로 되야 맞지요??이걸 아무도 건의를 안해서 그런진 모르겠는데, 상당히 불편하고 이상한 부분입니다.조치좀 해주세요"
2019.05.05. 11:03,"프론테라 배경음악 좀 바꿔줘요!! 아직도 크리스마스냐!!겨울 지나고 크리스마스 지난지가 백만년인데, 언제까지 캐롤 틀어놓을 생각인지?프론 원래 배경음악을 틀어줘요! 그 음악이 훨씬 좋단말입니다!!"
2019.05.05. 06:44,사실 아무도 성공한사람 없다...카프라는어.린.이.날이라고 쓰라고했다?웃자고 한말임미당 ㅋㅋ
2019.05.03. 09:48,성별 전환 이벤트좀 해줘요 제발~~~~~~~ㅠㅠ
2019.05.02. 19:23,벚꽃이벤트 1계정당 1캐릭인가요? 3캐릭 다 되나요?내용에 언급이 없어서 여쭙습니다..답쫌 부탁드려요
2019.05.02. 11:48,"오픈때부터 하다가 접으면서 하는 마지막 제안1년이 넘는 시간동안 그토록 명궁 한번을 띄워보려고 애써왔는데, 한번을 못 띄워봤고한달동안 모아놓은 5천만 제니를또다시 인챈에 써봤으나 명궁은 커녕 쓸만한 인챈 하나도 안뜨는 현실에그동안 들인 시간도 허무하고,앞으로 들일 시간도 무의미할것 같아접습니다.라그 운영자님들고객들은1. 조금씩 성장할 수 있다면 게임을 계속 합니다.2. 확신이 있다면 유료결제도 합니다.한 명이 천만원 결제하길 바라는건 망하는 지름길이고,십만명이 만원씩 결제하도록 만드는 것이 성공하는 운영입니다."
2019.05.01. 22:00,"아이템 단축창 늘려주십시오.쓸데없는 거 파는데, 열중만하지 말고 개선 좀 해주십시오. 스킬 단축창 같은 방식으로 한줄만이라도 늘려주십시오."
2019.05.01. 12:26,라그나로크의 세계관에 대해 알고싶어요!간단하게 일주일에 하나씩이라도 연재 해주실 수 있나요?
2019.04.30. 14:04,카프라님 ro포인트 만기연장제도좀.....저같은 서민은 한달에 로포 끽해야 250만쯔음 얻는게 다인데...이거 기한이 한달 안이라 노점에서 파는 몇천만짜리 사고싶어도 못사고 그러거든여롤오버 제도 만들어서 수수료 쫌 물고 만기연장좀 되게 해주십쇼 라그 잘만든 게임인데 이거 노점상들도 좋고 저희 서민도 좋고 일석이조 아니겠습니까
2019.04.29. 23:36,카프라 아조시 정말 미안한데 심야에 광고글 좀 매크로만들어서 자동으로 없애주면 앙대융?뭔 죽은카페도 아니고 10시 넘으면 광고가...;;;;
2019.04.29. 20:47,하단의상 추가 좀해주셔쓸만한게 없잖아
2019.04.28. 13:39,"게임 최적화 문의작년까지 라그 재밌게 하고 접었다가몇일전에 다시 복귀하였습니다.작년까지만해도 아이폰6s, 아이패드6세대 라그 잘 돌아갔는데요간만에 접속 하니까 렉이 너무 심해서 게임을 돌릴수 없을만큼심합니다.딱히 업데이트 한것도 없는데 왜 이렇게 렉이 걸리는지...... ?다른분들도 여쭈어보니까 저랑 같은현상 갑자기 많이 생겼다고하네요. 라그 돌릴라고 아이패드까지 샀는데 ......-.-확인 부탁드립니다"
2019.04.26. 23:40,쌍둥이별 활제발 1년동안 못깸요 버그때문에 안됨 수정좀...
2019.04.25. 13:03,이벤트상인 반값 이벤트좀..이벤트상인 반값 이벤트 해주세요~작년하반기에 한번하고 지금까지 안한거같은데..펜릴의사슬 앵꼬 나기 시작하네요 ㅠㅠ
2019.04.24. 18:07,카프라님 1퍼의상한번더 팔아줘요얼마전에 3일? 팔고 사라진거 의상 한번더 팔아주세요
2019.04.23. 13:35,프론광장에 울려퍼지는 크리스마스 캐롤은 올해 겨울까지 나오나요?이제 여름 곧 오는데 ..
2019.04.23. 08:49,에드온 신고게시판 만들어줘요사진 동영상?제보받고 로그뒤지세요?조치되면 댓글로 남기고 알려줘요??정기적으로 공지해주시구요
2019.04.22. 14:23,애드온 건의애드온 못잡을꺼면그냥 보스몹도 균열처럼 만들어서?자기한테만 보이게 해주세요심동한테 얘기해야 하나요
2019.04.21. 22:57,프론테라 배경음악 좀 원래대로4월도 다 지나가는데 아직도 울면안돼 캬롤 나오면 어쩌라는거에요관리안하는거는 이런거 부터 티가 나는 거 아님?
2019.04.19. 17:21,1년 이상 장기 미접속자 정리 건의1년 이상 장기 미접속자좀 정리해주세요1년 이상 접속 안했으면 이제 안돌아온다고 봐도 무방할거 같은데주로 쓰는 아이디 되찾고 싶어요
2019.04.19. 11:52,자유게시판을 장사게시판으로 바꿔주세요.자유게시판이지만 장사글이 더 많으니 장사게시판으로 바꾸는게 맞는것 같습니다.
2019.04.18. 18:52,미케닉 마도기어 리페어 INT 계수를 DEX로 바꿔주세요컨셉 자체가 제조 DEX/LUK 즉 손재주 좋은 캐릭이라는건데마도기어 뚱땅뚱땅 고치는데 왠 INT인가요 손재주DEX로 바꿔주셔요자신과 다른 유저의 마도 기어를 수리해 MaxHP*(12%*(1＋INT/100))의 HP를 회복시킨다.저기서 INT 부분을 dex로 바꿔주시면 좋겟듬 아니면 앞의 %값을 좀더 올려주시던가 ㅠ ㅅ ㅠ
2019.04.18. 00:09,유저 신고기능 만들어주세요게임상이나 공카에 만들어주면 애드온 의심 유저는 다른 유저가 더 잘아는법 아닙니까? 신고 들어오는 유저 위주로 로그 조회해보면 그라비티도 일하기 편할거 같은데 아닙니까? 애드온 제재 후에도 여전히 의심 유저들은 활개를 치니 다른 유저들이 의혹을 못버리는거 아닙니까?
2019.04.16. 21:21,고성외각 어둠의별 퀘스트는 도대체 언제 고쳐요?도대체 고성 외각 쌍둥이 별 퀘스트 버그 패치는 언제쯤 됩니까?공카글 찾아보니까 반년째 방치중이라는데게임 운영을 하는겁니까 마는 겁니까?퀘스트 완료 안되서 얼마나 불편한지 알아요? 게임 운영은 매달 나오는 의상뽑기 업뎃이랑 고양이코인 캐시 업뎃만 하는거여? 뭐여 진짜 글쓰다보니 화가나네 진짜운영을 할꺼면 좀 똑바로 유저들말 귀기울이면서좀 하고하기싫으면 다른회사에 넘기던지 게임서버종료 시켜요 답답하네 진짜
2019.04.11. 16:29,"향수로 게임하는 유저가 그라비티 운영진 분들께 건의 하나 합니다. 안녕하세요 작은 가게를 운영중인 자영업자입니다.향수에 시작한 게임이었는데?이렇게 망조의 길을 걷고 있는 게임이라는게 참 안타가워서 글남겨봅니다.???제 주관적인 생각으로 작성한 글이어서 불편하시면 안보셔도 될꺼 같습니다.?혹시 싶어?전 무과금러 입장에서 글을 쓰지 않았습니다.?저 또한 200만원 안되게 과금을 했습니다.?그리고 보탐은 경쟁이 싫어 돌지 않습니다.?1.?게임 운영하는데 크게 영향을 미치치 못하는 버그들을 절때 수정해 주지 않는다.? - 간단한 예로 고성외각 퀘스트 라그 시작부터 그런거 같은데 1주년이지나도...? ?(돈이 안되는 버그들은 수정하지 않는다.)2. 마법봉 역시 수정해 주지 않는다.? - 게임 내 치명적인 버그이나 이걸 수정하는 순간 고렙유저들의 약간의 현질을 막게된다.? - 마법봉을 사용해서 렙업을 한다는건 다른 이유가 아닙니다 라그는 일정수준의 탬이 없는 이상?? ? ?렙업을 빨리해서 좋을게 없는 게임입니다.?? ? ?레벨당 패널티가 존재해서 일정랩이되면 그에 상응하는 데미지가 나와야 효율이 나오기 때문입니다.? - 그럼 마법봉을 쓰면서 까지 랩업을 빨리해야 되는 사람들은??? ? ?대부분 만랩에 다른직업(잡스위칭) 스텟을 빨리 받기위해서 사냥하는 사람들 입니다.?? - 그럼 잡스위칭으로 다른직업을 뚤기위해선 현질이 필요합니다.? ? (돈이 되는 버그도 수정하지 않는다.)3. 애드온 사태?? - 애드온 역시 저랩 때 쓰는 사람도 있겠지만 우린 대부분 보탐을 돌아야되는 1주년된 라그유저 입니다.? ? 여기서 문제가 발생합니다. 보탐을 돌아서 다른 재미를 느낄 수 있게끔 해줘야 하는데?? ? 아무리 보탐 죽돌이라도 먼저 발견해서 죽여버리면 보탐돌 맛이 나지않는거죠..?? ??? ? 그런데 .. 타당하게 뺏긴 보탐은 이해하겠지만?그게 아닌거라 느끼는 사람들이 많아지고?? ? 유저들의 불만이 많아지면 원인규명을 확실하게 해주거나 어떤 조치가 있어야 되는데?? ? 운영방침과 글로만 한다하고 정확하게 제제를 가했는지는 알 수 없는 상황이 유저 입장에선? ? 전혀 하지 않는것 처럼 보이는 겁니다.?? - 그럼 왜 그걸 할 수 있다고 하는데 안하는 것 처럼 보일까요???? - 위와 같이 제가 생각한 부분들을 돈으로 계산해서 생각하시면 기업입장에서 어느정도 타당성이 생깁니다.? - 보스를 만나도 원활하게 보스를 잡으려면? 어느정도 스팩이 되야 합니다.?? ? 그렇다는건 그 유저 역시 과금을 했다는겁니다.? - 설령 과금을 안했더라도 맛을 보니 더 쌔지도 싶은 욕구가 생겨 과금을 했을 수도 있죠..? - 과금을 안하고 소소하게 즐기는 사람들 입장에서는?? ? 보스를 만나도 빠르게 잡을만큼 스팩이 좋기는 매우 힘듭니다.? - 에드온 자체가 불법적으로?? ? (ex 치명적 버그를 악용한 불법적이득취득 ,조던링 복사하던 시절같은 탭복사or탬능력치 조정)?? ? 이득을 취하는게 아니어서(와우와 같이 게임내 원활하게 플레이 하도록 도움을주는정도..)?? ? 제제를 안하는게 아니라 법적인 명시가 없어 못하는거 같습니다.(법적으론 문제되지 않고 돈되는 고과금러들 내칠 수는 없다.)??즉, 기업 입장에서 이 게임을 장수게임으로 보고 있는게 아니라 1-2년 단기로 생각하고 팔수 있을때 최대한 벌고?? ? 망해 없어져도 이득을 봤다는 생각을 하고 있는거 같습니다.? ? 어짜피 무과금러들은 없어저도 기업입장에선 수입과 무관하니..상관없다. 어짜피 단기로 빠질꺼..?---------------------------------------------------------------------------------------그라비티 운영진분들께 제 개인적인의견 보내드립니다.??? ?1) 에드온의 경우 다 쓰게 하거나 다 못쓰게 하거나 둘중하나를 그라비티에서 선택하셔야 될거 같습니다.? ?2) 게임내 불편한 버그나 사람들의 의견이 많으면 수정좀 해주세요..? ? ? -향수와 애정으로 게임하는 사람들이 많습니다. 차라리 못하는건 못한다고 말해주세요?? ? ? ?할 줄 알면서 안하는거랑 못하는건 다른겁니다.?? ? ? ?향수로 시작한 유저들이 많은데 중립적운영방식에 지쳐서 떠나가는겁니다.? ? ? ?? ?3) 회사쪽 의견을 중립적으로 행사하지 마시고 (할 수 있다. 없다.) 로 나뉘어서 운영좀 해주세요.? ? ? 유저 입장에서 속타는걸 방관하시면 하실수록 매출은 떨어집니다. 장담합니다.?---------------------------------------------------------------------------------------이렇게 운영하는데 오래 갈 수 없을거 같습니다.쉽게 과금을 유도하는 헨드폰 게임 특성은 이해 하겠는데 전혀 피드백이 없는 운영과 돈만 벌려고 하는 이 상황이작은사업을 하고있는 제 입장에서 봐도 그래보이는데... 유저입장에선 오죽할까요...?혹시 제 글이 너무 편파적이고 오해해 소지가 있었다면 죄송합니다.?오래동안 잘 운영해서 저와 같이 향수로 게임하는 사람들이 많이 있었으면 싶었는데?하나둘 떠나가는게 씁쓸해 글 적어 봤습니다.운영진 분들이 글보시고 피드백 주시면 정말 감사하겠습니다.(저희 유저는 피드백을 원합니다...)"
2019.04.11. 16:13,무과금 유저인대다른거 안바라고 제발 케릭터나 더 만들수 있게 창좀 늘려주세요 또 코인으로 파시지말고 케릭창좀 늘려주세요 ㅠㅠ
2019.04.11. 15:46,"각성포션 그냥 상점에서 팔아주세요없는 사람한텐 필수품인데, 자꾸 사재기해서 가격이 몇배로 뛰고 난리임.누군가에겐 별로 필요없는 걸진 몰라도막 시작한 사람 입장에선 그거 하나 사먹는 거도 비싸서 징징대는데,개당 가격이 만원이 넘어가면 도대체 어쩌란 말입니까?아예 각선포션을 통째로 사재기해서 이윤을 남기는 짓까지도 하는 사람이 있습니다.없는 사람 입장에선 진짜 난감하고 미칠 노릇입니다.다른 건 시장원리따라 가격변동이 있는 걸 이해한다지만, 이건 필수품이라 안쓸 수가 없는 비용입니다.가뜩이나 늦게 시작해서 따라가기 벅찬데, 여기서 지출이 어마어마하니 진짜 괴롭습니다"
2019.04.11. 11:04,진짜 2주년 이벤트도 했으면 했는데일주년됬을때 운영좀 잘해서 이주년때도 보자고 했는데...아무런 조취도 안내도 없어 지쳐가는중적폐무리도 아니고 그저 덮기만 급급하니 원...이번주 내로 뭔가 발표 없으면 친구들 다 접자고 야기해야겟음오픈때부터 공들인게 아깝긴하지만갑자기 사라질거 생각하면 에휴
2019.04.10. 14:04,점검 밤에좀 하면 안됩니까거 낮에 자동도 못돌리게 진짜 너무한 데수웅....
2019.04.09. 09:06,일햐라 구라비리마법봉 에드온 조치하라고... 개신발들아..
2019.04.08. 17:29,변신스크롤...일정수량+제니로해당 몬스터 고목으로 교환 했으면좋겠드...
2019.04.08. 16:01,"지금 고블린 이벤트맵 경험치 드랍중지금 고블린 이벤트로 입장되는 개인던전 이벤트 맵에서 몬스터에게 들키면 원킬당하는데 경험치 드랍이 됩니다.이게 이벤트인지 아니면, 악질적인 장난인지 모르겠네요.이벤트면 이벤트 답게 경험치 드랍안되게 해주세요. 부탁드립니다."
2019.04.07. 19:47,만렙되면 게시판 퀘 경험치 딴걸로 바꾸게 해줘요배렙 120렙 찍었는데 베이스 경험치 아까운거 와우처럼 경험치 돈으로 환산해줘용아니면 잡렙 경험치로 전환해주시면 더더욱 좋구
2019.04.06. 09:04,자만키플레이트 티어업옵션좀 바꿔주세요운영자님 분명히 만드는?돈으로보나 게브네이 위의 돌브의망토와 같이 입는 자만키플레이트가 훨씬 게브네이보다 상위템인데 왜 제련도에 따라서?자만키는 올라가는옵이 없나요? 게브네이처럼?5제련 10제련 15제련시?피통이나 디펜도 또는 물리피해능력중 아무거나 좀 제련옵좀 붙여주세요.
2019.04.05. 21:59,막타좀어케해봐라씨바아니씨바막타가보스거진90이상먹는데평타캐릭은어쩌라고 모지리시끼들아보스피퍼센테이지로하던가씨바막타가다챠먹네첫타집중타는 개좆이네 피다깍고 한방스킬있은딕어1이땜림다뺏겨씨바
2019.04.05. 19:05,유저간 거래가능 하던가 한정 선착순 하면안되나요계정간 거래가 안되니 노점이용해서 하는건데 한정걸려버리니 내아이템이 다른사람에게 간다는 사실이 뭣같네요 차라리 계정간 거래가능하게 만들어주시면 안되나요
2019.04.05. 16:17,글레스트헤임 사진 다 찍었는데 모험수첩 완료가 안되요~냉무
2019.04.05. 10:10,노래로 피로도 채우는거 좀 더 유저 친화적으로 안될까요2분 20초짜리 노래 들으면 2분만 인정되고 20초 날리고1분 35초짜리 노래 들으면 1분만 되는데1채 남문이나 길아 노래방에서 연속으로 들으면 피로도 60분 채우냐고 그거보다 더 오래 있어야 되잖아요초단위도 인정해서 좀 더 합리적인 피로도 회복이 됐으면 합니다
2019.04.04. 18:06,마법봉 팔아요 챗 주세요~ 20개 보유ㄱㄱ
2019.04.04. 17:44,기도 초기화 만들어주라 (냉무).
2019.04.03. 03:57,인벤 소지량좀 늘려줘요고코로 팔던가.... 숨막혀 죽겠음게임이 점점 고여가는만큼 직변장비/스위칭장비랑 카드들 바리바리 싸들고 댕기느라 인벤이 모자라요임시보관함 있으니 됐잖아? 라기엔 꽉차면 카드스위칭이 안됩니다?가뜩이나 힘 안찍는 케릭은 인벤도 좁은데... 돈주고 사라면 살테니 인벤확장좀 해주세요 제발
2019.04.02. 14:18,"잘못 결재되고 아이템 안들어온거 해결 안해요?1:1 문의는 왜 그런식으로 만들었는지 모르겠는데이미지 첨부는 하나밖에 안되고 영수증은 다 첨부하래서일일히 붙여서 문의 넣었는데 감감 무소식인데요.버그는 넘치고 뭐하나 깔끔하게 돌아가는게 없는데그렇게 대충 운영해도 현질 해가며 게임하니까8,800원 정도는 대충 넘어가도 되는건가?사용자로서 짜증이 나나요 안나나요?그 뒤로도 계속 긁어가며 가챠 돌리는 유저가 등신이죠?1:1 또 올리면 확인은 할건가요?접수 됐다는 메일만 덜렁 오는데 그걸로 고객센터에서 확인 하는건지 프로세스가 진행이 되는건지 고객에 어떻게 알죠?"
