hashtags,numoflikes,date
"['#라그나로크M', '#그라비티', '#Gravity', '#종족', '#크기', '#카드', '#스켈워커', '#히드라']",좋아요 16개,2018년 08월 16일
"['#첫줄', '#일상', '#라그나로크m', '#추억이방울방울']",좋아요 8개,2018년 03월 27일
"['#서강준', '#서프라이즈', '#5urprise', '#라그나로크M']",462,2018년 03월 10일
"['#라그나로크m', '#지스타', '#지스타2017', '#그라비티', '#이다연', '#모델', '#행사', '#전시', '#벡스코', '#부산', '#울산', '#양산', '#증산', '#촬영']",좋아요 64개,2017년 12월 11일
['#라그나로크m'],좋아요 9개,2018년 05월 25일
"['#라그나로크M', '#그라비티', '#Gravity', '#알데바란', '#시공나이트메어', '#어디서', '#입장', '#가능', '#시공_여행자_엘비스_통해_입장_OK']",좋아요 17개,2018년 05월 28일
"['#한가은', '#가웅찌', '#가웅베베', '#유르유르', '#율느님', '#지스타', '#지스타2017', '#gstar', '#gstar2017', '#벡스코', '#그라비티', '#라그나로크', '#라그나로크m']",좋아요 29개,2017년 12월 30일
['#라그나로크M'],832,2018년 03월 27일
"['#공유', '#라그', '#라그나로크', '#라그나로크m', '#폰게임', '#취미', '#부부스타그램', '#럽스타그램', '#프리스트', '#꿈나무', '#게임', '#부부', '#일상', '#love', '#game', '#ragnarok', '#ragnarokmobile', '#lovestagram', '#loves', '#day', '#life', '#habby', '#mobilegame', '#couple', '#married']",좋아요 30개,2018년 03월 19일
"['#첫줄안녕', '#김하율', '#부산', '#벡스코', '#지스타', '#게임', '#그라비티', '#라그나로크m', '#하이프리스트', '#모델', '#코스튬', '#전시', '#행사', '#korea', '#busan', '#bexco', '#gstar', '#game', '#gravity', '#ragnarokm', '#highpreist', '#model', '#costume', '#photo', '#picture', '#snap', '#snapshot']",좋아요 28개,2017년 11월 28일
"['#다시시작하는', '#라그나로크', '#라그나로크m', '#20대', '#추억소환중']",좋아요 31개,2018년 03월 18일
"['#그라비티', '#라그나로크', '#라그나로크M', '#라그M', '#라그나로크모바일', '#카드', '#던전', '#득템_가능']",78,2018년 06월 28일
"['#오아희', '#오밍키', '#트위치방송', '#그라비티', '#라그나로크', '#라그나로크m', '#카프라', '#대만', '#taiwan', '#gameshow', '#게임쇼', '#taipeigameshow', '#taipeigameshow2018']","3,137",2018년 01월 28일
"['#아푸지마', '#g_star', '#카프라', '#모델', '#2017지스타', '#오아희', '#잇수다', '#모델에이전시', '#photo', '#지스타', '#그라비티', '#라그나로크m', '#댄스', '#공연', '#이너스컴', '#포즈', '#게임쇼', '#gameshow', '#gravity']","좋아요 3,379개",2017년 11월 30일
"['#서강준', '#서프라이즈', '#5urprise', '#라그나로크M']",318,2018년 03월 03일
"['#라그나로크m', '#발암크루', '#미친존재감', '#극방크루']",좋아요 8개,2018년 04월 05일
"['#그라비티', '#라그나로크', '#라그나로크M', '#전투', '#레벨업', '#사냥터', '#버프']",좋아요 23개,2018년 03월 20일
"['#라그나로크M', '#그라비티', '#Gravity', '#길드', '#핵심', '#길드던전', '#정보', '#공유', '#길드던전_알면_개이득']",좋아요 27개,2018년 04월 20일
"['#2017지스타', '#지스타', '#지스타2017', '#레이싱모델', '#소이', '#카프라', '#그라비티', '#라그나로크M']",좋아요 5개,2017년 11월 22일
"['#전신샷', '#옆태', '#뒤태', '#뒷태', '#각선미', '#패션', '#스타일', '#오피스룩', '#파티룩', '#글램룩', '#여친룩']",좋아요 177개,2017년 11월 22일
"['#송정역맛집', '#냉삼', '#옛날삼겹살', '#구돌판집', '#회식', '#라그나로크m', '#구씨', '#송정역옛날삼겹살', '#공항동옛날삼겹살', '#송정역삼겹살', '#공항동맛집', '#송정역냉삼']",좋아요 25개,2019년 01월 09일
"['#라그나로크m', '#게임중', '#럽스타그램']",좋아요 29개,2018년 08월 23일
"['#SNSD', '#GirlsGeneration', '#소녀시대', '#少女時代', '#융융', '#林允?', '#ユナ', '#윤아', '#임윤아', '#yoona__lim', '#TheK2', '#Bangkok', '#Thailand', '#seokangjun']","좋아요 1,247개",2018년 05월 24일
"['#애플환불', '#삼국지블랙라벨', '#삼국지M', '#검은사막m', '#뮤오리진2', '#역천', '#운명', '#드래곤보레전드']",좋아요 15개,2018년 06월 18일
"['#장난감_공장', '#라그나로크', '#라그나로크M', '#라그M']",92,2018년 04월 22일
"['#snsd', '#GirlsGeneration', '#소녀시대', '#윤아', '#yoona', '#林允?', '#seokangjoon', '#서강준', '#라그나로크', '#라그나로크M', '#slyagameendorsement']","좋아요 1,361개",2018년 03월 27일
"['#조블페이', '#구글기프트카드', '#리니지m', '#검은사막모바일', '#모바일게임', '#라그나로크m', '#검은사막m', '#구글플레이', '#구글플레이기프트코드', '#구글플레이기프트카드', '#선팔하면맞팔', '#맞팔', '#선팔맞팔', '#선팔', '#넥슨캐시']",좋아요 9개,2018년 06월 01일
"['#조블페이', '#구글기프트카드', '#리니지m', '#검은사막모바일', '#모바일게임', '#라그나로크m', '#검은사막m', '#구글플레이', '#구글플레이기프트코드', '#구글플레이기프트카드', '#선팔하면맞팔', '#맞팔', '#선팔맞팔', '#선팔', '#넥슨캐시']",좋아요 11개,2018년 06월 01일
['#라그나로크m'],좋아요 28개,2018년 04월 21일
"['#그라비티', '#라그나로크', '#라그나로크M', '#라그M', '#고양이', '#용병', '#메이사', '#사냥', '#마법형', '#작은_냥이가_맵다']",557,2018년 04월 12일
"['#친구들기다리면서', '#게임중', '#라그나로크m', '#몬스터를죽여라', '#왜죽여도죽여도계속나와']",좋아요 25개,2018년 04월 01일
"['#라그m', '#라그나로크m']",좋아요 27개,2018년 09월 22일
"['#라그나로크M', '#그라비티', '#Gravity', '#게임', '#재미', '#콘텐츠', '#변신스크롤', '#적과의_동침']",좋아요 32개,2018년 03월 21일
"['#첫줄', '#모델', '#레이싱모델', '#소이', '#레이싱모델소이', '#지스타2017', '#지스타', '#카프라', '#그라비티', '#라그나로크m', '#부산', '#벡스코', '#코스프레', '#메인모델', '#인물사진', '#모델사진', '#니콘', '#model', '#racingmodel', '#gstar2017', '#gravity', '#bexco', '#koreamodel', '#portrait', '#photo', '#nikon', '#d610']",좋아요 710개,2017년 12월 19일
['#라그나로크M'],좋아요 28개,2018년 03월 17일
"['#지스타2017', '#지스타', '#그래비티', '#라그나로크m']",좋아요 4개,2017년 11월 21일
"['#hi', '#라그나로크M', '#마냥좋아', '#즐겜', '#귀여운게임', '#득템', '#코스튬', '#확률up', '#이벤트', '#뽑기운', '#행운', '#원하는템', '#겟겟', '#기분좋아']",좋아요 17개,2018년 05월 23일
"['#라그나로크m', '#일상', '#게임스타그램', '#자캐']",좋아요 17개,2018년 03월 19일
"['#라그M', '#라그나로크M', '#함께해요']",좋아요 2개,2018년 04월 05일
"['#snsd', '#GirlsGeneration', '#소녀시대', '#윤아', '#yoona', '#林允?', '#seokangjoon', '#서강준', '#라그나로크', '#라그나로크M', '#slyagameendorsement']","좋아요 1,429개",2018년 03월 27일
"['#라그나로크M', '#그라비티', '#Gravity', '#업데이트', '#드디어', '#공개', '#펫꾸미기', '#이뻐', '#멋져', '#나만의_펫']",좋아요 10개,2018년 04월 27일
"['#서강준', '#seokangjoon', '#seokangjun', '#라그나로크M']",565,2018년 03월 27일
"['#그라비티', '#라그나로크', '#라그나로크M', '#라그나로크온라인', '#라그나로크모바일', '#요리', '#셰프', '#오늘은_내가_요리사']",좋아요 49개,2018년 02월 27일
"['#라그나로크M', '#라그M', '#그라비티', '#라그EP5', '#업데이트', '#파티대항전', '#랭크', '#하이클래스', '#파티대항전', '#6VS6']",126,2018년 12월 14일
"['#조블페이', '#구글기프트카드', '#리니지m', '#검은사막모바일', '#배틀그라운드모바일', '#라그나로크m', '#검은사막m', '#던전앤파이터', '#피파온라인3', '#피파온라인4', '#메이플스토리', '#테일즈위버', '#거상', '#니드포스피드엣지', '#구글플레이', '#구글플레이기프트코드', '#구글플레이기프트카드', '#선팔하면맞팔', '#맞팔', '#선팔맞팔', '#선팔', '#넥슨캐시', '#넥슨카드', '#카이저', '#리니지2레볼루션', '#리니지m다이아', '#리니지m현금', '#리니지엠', '#리니지m대리결제', '#리니지m결제']",좋아요 7개,2018년 05월 26일
"['#라그나로크M', '#그라비티', '#Gravity', '#EP5', '#펫', '#25마리', '#펫_알_가방', '#펫_수첩', '#펫_융합']",좋아요 6개,2018년 11월 20일
"['#라그나로크m', '#예나지금이나궁수', '#아처', '#반가움', '#추억이새록새록', '#뭘어떻게해야', '#하나도모르겠네']",좋아요 1개,2018년 03월 29일
"['#첫줄안녕', '#한가은', '#모델', '#레이싱모델', '#라그나로크m', '#그라비티', '#지스타', '#2017지스타', '#벡스코', '#BEXCO', '#부산', '#행사장', '#f4f', '#like4like', '#일반인', '#촬영', '#팔로우환영', '#소통해요', '#니콘', '#NICON', '#D850', '#내가찍음', '#치우천']",좋아요 144개,2017년 11월 22일
"['#그라비티', '#라그나로크', '#라그나로크M', '#헤어', '#기분_전환', '#꿀팁은_계속_됩니다']",좋아요 16개,2018년 03월 27일
"['#볼케이노치밥', '#무조림', '#된장국수', '#장아찌', '#사과', '#홈쿡', '#라그나로크m', '#점심', '#주말', '#여유', '#다담된장찌개양념', '#된장찌개', '#소면', '#굽네몰', '#볼케이노', '#치밥', '#냉동볶음밥']",좋아요 61개,2018년 04월 01일
"['#부부일상', '#일상', '#데일리', '#일상스타그램', '#예쁜커플', '#예비부부', '#2017지스타', '#그라비티', '#라그나로크M', '#카프라', '#포즈', '#공연', '#정지훈', '#셀피', '#daily', '#눈오는날', '#selfie', '#오늘도화이팅']",좋아요 71개,2017년 11월 24일
"['#조블페이', '#구글기프트카드', '#리니지m', '#검은사막모바일', '#배틀그라운드모바일', '#라그나로크m', '#검은사막m', '#던전앤파이터', '#피파온라인3', '#피파온라인4', '#메이플스토리', '#테일즈위버', '#거상', '#니드포스피드엣지', '#구글플레이', '#구글플레이기프트코드', '#구글플레이기프트카드', '#선팔하면맞팔', '#맞팔', '#선팔맞팔', '#선팔', '#넥슨캐시', '#넥슨카드', '#카이저', '#리니지2레볼루션', '#리니지m다이아', '#리니지m현금', '#리니지엠', '#리니지m대리결제', '#리니지m결제']",좋아요 8개,2018년 05월 30일
['#리니지m'],좋아요 6개,2018년 03월 19일
['#리니지m'],좋아요 13개,2018년 03월 22일
"['#서강준', '#서프라이즈', '#5urprise', '#라그나로크M', '#고화질로보고싶다']",좋아요 65개,2018년 03월 16일
"['#그라비티', '#라그나로크', '#라그나로크M', '#라그M', '#요리', '#빠르게', '#배고프니_빨리해서_먹자']",좋아요 12개,2018년 04월 25일
"['#그라비티', '#라그나로크', '#라그나로크M', '#캐릭터_소개', '#어쌔신']",102,2018년 03월 14일
"['#YoonA', '#imyoona', '#snsd', '#girlsgeneration', '#ragnarok', '#서강준', '#seokangjun', '#seokangjoon', '#5urprise', '#areyouhumantoo', '#너도인간이니', '#cheeseinthetrap', '#치즈인더트랩', '#entourage', '#안투라지', '#cunningsinglelady', '#slyandsingleagain', '#앙큼한돌싱녀', '#whathappenstomyfamily', '#가족끼리왜이래', '#thesuspicioushousekeeper', '#수상한가정부', '#hwajung', '#화정', '#koreanactor', '#koreandrama', '#kdrama', '#라그나로크M']",좋아요 134개,2018년 03월 14일
"['#포링', '#덕후', '#네일아트', '#덜익은사과_디테일_끝판왕', '#그라비티', '#라그나로크M', '#저도_받고_싶어요']",182,2018년 05월 03일
"['#SNSD', '#GirlsGeneration', '#소녀시대', '#少女時代', '#융융', '#林允?', '#ユナ', '#윤아', '#임윤아', '#yoona__lim', '#TheK2', '#Bangkok', '#Thailand', '#seokangjun']","좋아요 1,171개",2018년 05월 24일
"['#그라비티', '#라그나로크', '#라그나로크M', '#라그M', '#밤하늘', '#몬스터', '#배경화면', '#어겜행겜', '#명언']",좋아요 15개,2018년 05월 18일
"['#오아희', '#오밍키', '#그라비티', '#라그나로크', '#라그나로크m', '#대만', '#taiwan', '#gameshow', '#게임쇼', '#taipeigameshow', '#taipeigameshow2018']",좋아요 554개,2018년 01월 28일
"['#그라비티', '#라그나로크', '#라그나로크M', '#사진', '#퀘스트', '#명소']",좋아요 35개,2018년 03월 18일
"['#라그나로크m', '#15년차', '#기대된다', '#3월14일', '#한국에서', '#드디어', '#나왔다']",좋아요 14개,2018년 03월 11일
['#라그나로크M'],좋아요 109개,2018년 05월 24일
"['#라그나로크M', '#그라비티', '#Gravity', '#업데이트', '#드디어', '#공개', '#펫꾸미기', '#이뻐', '#멋져', '#나만의_펫']",좋아요 24개,2018년 04월 27일
"['#김하율', '#유르유르', '#율느님', '#지스타', '#지스타2017', '#gstar', '#gstar2017', '#벡스코', '#그라비티', '#라그나로크', '#라그나로크m']",좋아요 31개,2018년 01월 03일
"['#꺄르르', '#afterparty', '#지스타', '#그라비티', '#라그나로크M', '#뒷풀이', '#애프터파티', '#gstar', '#잇수다', '#모델에이전시', '#gravity', '#단체샷', '#전신샷', '#daily', '#ootd', '#dailylook', '#instadaily', '#instagood', '#instalike', '#instagram', '#model', '#korea', '#seoul', '#이태원', '#경리단길', '#샹', '#이태원샹', '#이태원술집', '#이태원와인', '#이태원라운지바']",좋아요 240개,2017년 12월 01일
"['#그라비티', '#라그나로크', '#라그나로크M', '#라그M', '#모험스킬', '#죽은척하기', '#누구보다_빠르게']",좋아요 6개,2018년 04월 27일
"['#2017지스타', '#부산', '#벡스코', '#그라비티', '#라그나로크M', '#한가은']",좋아요 14개,2017년 11월 23일
"['#흰돌이누나', '#오늘의하루', '#나의일상', '#데일리', '#데일리그램', '#일상', '#일상스타그램', '#게임', '#모바일게임', '#라그나로크m', '#daily', '#dailygram', '#instadaily', '#today', '#instatoday', '#game', '#mobailgame', '#ragnagokM']",좋아요 14개,2018년 03월 16일
"['#버블밀크티', '#손바닥치킨']",좋아요 458개,2018년 02월 03일
"['#soekangjoon', '#namshin', '#namshin3', '#yoona', '#snsd', '#라그나로크m', '#윤아', '#서강준', '#강타', '#너도인간이니']",379,2018년 09월 07일
"['#그라비티', '#라그나로크', '#라그나로크M', '#포링']",좋아요 32개,2018년 03월 20일
"['#수서역srt', '#라운지', '#라그나로크m']",좋아요 18개,2018년 03월 17일
[],좋아요 7개,2018년 05월 23일
"['#라그나로크M', '#라그M', '#영원한사랑', '#5월_신규_코스튬', '#포링의_세계여행']",좋아요 21개,2018년 05월 06일
"['#그라비티', '#라그나로크', '#라그나로크M', '#라그M', '#7월', '#신규_코스튬', '#꿈속의_왈츠', '#뜬금_사랑의_세레나데']",104,2018년 06월 29일
"['#원격', '#라그나로크m', '#열일', '#운동다시시작', '#라그는', '#나는', '#내체력도', '#팀뷰어', '#라그m', '#스모키잡고', '#나뭇잎']",좋아요 15개,2018년 03월 26일
"['#그라비티', '#라그나로크', '#라그나로크M', '#라그M', '#로즈데이', '#꽃', '#장미', '#사랑', '#고백', '#라그나로크M과_함께']",좋아요 16개,2018년 05월 14일
"['#이다연', '#댕댕', '#부산', '#벡스코', '#gstar', '#라그나로크m', '#한파', '#겨울', '#아듀2017', '#model', '#racingmodel', '#취미', '#비치', '#인물사진']",좋아요 28개,2017년 12월 12일
"['#애플환불', '#검은사막m', '#라그나로크m', '#이터널라이트']","좋아요 1,027개",2018년 05월 03일
"['#게임', '#라그나로크m', '#가챠']",좋아요 16개,2018년 04월 19일
"['#흔들린셔터', '??#mode', '#sexy', '#cute', '??#2017gsta', '#지스타', '#gravity', '#라그나로크m', '#Dang', '#레이싱모델', '#이다연', '??#dayeon010', '#Nikon', '#f4f', '#l4l', '#follow', '#dslr', '#pic']",좋아요 165개,2017년 11월 21일
"['#작년사진', '#라그나로크m', '#라프카', '#soy', '#photo', '#portrait', '#photography', '#photographer']",좋아요 50개,2018년 06월 04일
