title,contents,date
마생 용족 인간형 UR 셋 무료 배포 할때 풀특강 풀초월로 주세요,"6월 업데이트 이후 신규 케릭 생성시 UR 세트로 준다고 하던데 
    최소한 풀특강 풀초월 은 된 장비로 주세요 
      이거 줘 봐야 배경 UR 해야지 
  무료로 받은거 공속 피흡 옵션 변경해야지 
      각 장비별 집혼석 만들어야지   
      할게 너무 많습니다 
      풀특 풀초월 장비로 줘도 할까 말까 고민중인데   
      특강  초월도 안된 장비 주면   진짜 개막장으로 갑니다 
               ",2019. 6. 5. 수요일 13:51
배트맨 콜라보 의상,착용 안 하고도 배트맨 펫 무기 코스튬 착용 가능하게 해주세요. ,2019. 6. 5. 수요일 13:48
닉네임 변경권 판매 안합니까,판매해주세요,2019. 6. 5. 수요일 13:45
대장 제작!!,"안녕하세요.
  넷마블개발자님들~
  대장으로 가는 유져들에게
힘을좀 실어주세요.
  투력의 손해와 막대한 재료 아덴과 과금으로
억울하네요. 과금 상품으로 뿌리실거면!
  개발자노트에 상세히 설명을 좀 해주시던지요!
  이거야 원 매번 업뎃마다 뒷통수 맞으니
뒷통수가 납작해졌습니다.
  정리!!
대장에서 마력석 제작시
모든 클레스+랜덤스킬 부여됩니다.
  이것을 선택권으로 바꿔주세요!
간곡히 부탁드립니다.
(1개 마력석 만드는데 재료 아덴 비용아시나요?! )
  아니면 전화해서 욕할거임 ㅋㅋ
나 대장 12렙인데.   손해본 투력 / 과금
  내탓이지만 억울해!! 나같은 사람 많을거요!
  올해 매출 압박 들어오고 있지요?? 잘합시다!
  PS: 탱커는 검방 무기를 착용중입니다.
이름도 이미지도 검방이지요!!
임팩트 방패에도 빛이 나야 정상 아닌가요?
방패의 효력을 못느끼는데 빛이라도 주세요.
  스샷좀 찍어서 자랑도 하고! 키우는 맛도 있을거
아닙니까!!",2019. 6. 5. 수요일 11:47
기간한정코스튬,"안녕하세요 얼마전 복귀한 유저입니다.
복귀하고 나니 그동안 예쁜한정코스튬이 많았던 라구요.
ㅜㅜ 진심 현질 지르고싶은데 못사서 너무 아쉬운데
살수있는방법이 전혀 없을까요? 
한달에 한번이라도 놓친 코스튬 살수있게 해주시거나 복귀유저에게 한정기한을 주심 안데나여?ㅜㅜ 크엉 진심 지르고싶어여",2019. 6. 5. 수요일 09:14
장비마다 각성하는게 아닌 장비칸에 각성으로 통일시켜주세요,"각 장비마다 각성을 언제 다하나요 
  특정장비마다 각성 해야하는 재화수가 엄청난데
  배경템을 제외한  일반장비는 장비칸에서 각성으로 통일해서
  하면 어떨까요",2019. 6. 5. 수요일 09:09
내탄. 도려다오,탄을다오. 탄을. 쳐 묵허니 ㅠㅠ,2019. 6. 5. 수요일 05:24
이벤트 월드보스 : 엘나르간드 보스 를 연장해주세여..,"이벤트 월드보스 : 엘나르간드 보스 를 연장해주세여..
엘나르간드 입장권을 50장 넘게 보유하고 있는데...이번 6월5일에..월드 보스까지 일괄 종료하면..
입장권을 보고..
레드다이야를 소모해가면 추가로 구해놓은 입장권이..쑬모없어지게 됩니다....
  입장권을 모두 소모할수게 연장해주세요...
  월드 보스는 연장해주길 바랍니다..",2019. 6. 5. 수요일 00:54
이벤시공 머하쟈는거냐,"6월 5일까지엿다면 6월5일 23시 59분까지는 이용하게 해야지 왜 또 저
번처럼 시간 바꾸냐 ?갑질하냐?아님 뇌가 없나??개발진들 시간 개념 없나?날짜개념 없나?
6월5일03시59분은 하지말라는 소리잔니?정정해라 ",2019. 6. 4. 화요일 20:41
댄스 오브 어설트 버그 신고,쿨초기화는 잘적용되고 버프스킬은 지속시간 끝나면 맞춰서 알아서 잘씁니다 그런데 액티브 스킬은 쿨초기화돼도 남았던 시간이 지나야만 사용하는데 도대체 언제쯤 수정해주나여 액티브도 쿨돌면 끝나고 바로바로좀 쓰게 수정좀 해줘요 자사돌리면서 쿨초기화 돼면 누르라는건가ㅡㅡ 그럴꺼면 수동사냥을하지,2019. 6. 4. 화요일 20:36
동맹원정만 들어가면 렉걸려요,"동맹원정 2거점 들어가고 사냥 중 화면이 멈추면서 렉걸립니다.  할 때 마다 그러네요
렉 때문에 깨지도 못하고 죽어있네요.. ",2019. 6. 4. 화요일 20:31
개속적우로 넷마블은. 탄을. 안주네 ㅠ ㅠ,일대일건의가. 안댄다는  탄. 돌여달라 ㅠ ㅠ,2019. 6. 4. 화요일 20:23
넷마블은. 탄몇개 복구해달라는데. 드럽게. 말. 안듣네,탄몇개. 그케. 아깝나. ㅅㅂ. 드럽다. 내탄. 달 라고,2019. 6. 4. 화요일 20:14
동맹원정 개편좀 합시다,"우선 1단계 동맹원정을 보면 참여를 안하면 보상이 없는데 이건 혈 컨텐츠이니까 참여안해도 전체 보상으로 좀 바꿉시다
그래야 행동력을 좀더 계획적으로 쓸 수 있고 바이움도 좀 만나보고 할꺼 아닙니까
  모든 단계마다 클리어 되면 미참여 인원도 보상받게 바꿔야 한다고 생각합니다.
  다들 같은 생각일 것 같은데 이런거나 좀 해주세요 넷마블 ~",2019. 6. 4. 화요일 19:36
은빛용병단 패키지좀 다시 팔아주세요,지발요,2019. 6. 4. 화요일 18:55
복귀유저를 위한...,"다시 건의합니다.
배트맨 아티팩트 상품.  출시해주세요.
복귀 햇더니 배트맨 카드는 빈깡통 이네여.
기본적인카드라도 찰수잇게 상품출시 건의합니다.
 ",2019. 6. 4. 화요일 18:48
집혼석, 장비에 장착된 집혼석 추출안하고 분해 가능하게 해주세요. 아티팩트 세트칸 늘리는대신 효과 떨어트리지는 않겠죠..설마,2019. 6. 4. 화요일 18:25
아티팩트세트칸수늘려라,아가시온희귀참일반아가시온에장착가능케하고,2019. 6. 4. 화요일 17:17
아타펙트도 덱별설정 가능하게 해주세요..,"모 지금은 비록 종류가 많지 안아도..
뜯어보면 셋팅할게 있어요..
덱별설정 가능하게 부탁드려요..",2019. 6. 4. 화요일 15:16
2차 전직 심플하게 건의,"카마엘이 나오는데
업뎃 시점에
2차 전직도 심플하게 개선 건의합니다
  현 2차 전직은 넘 길어요 퀘템도 잘 안나오고요",2019. 6. 4. 화요일 14:21
우호 동맹 설정 (연합),"계속 서버 통합이 이루어 지면서 한 서버에 많은 쟁혈들이 생기고 그 쟁혈간 많은 동맹과 그런 우호 동맹간의 연합이 생깁니다..
그런데 동맹은 3개혈 밖에 안되니 연합대연합 쟁이 생길시 같은 연합인 즉 우호 동맹간에도 서로 죽여지기 쉽상입니다.. 그래서 동맹간의 우호 동맹 설정이나 연합 설정이 가능하도록 해주세요~ 
혈맹 동맹 컨텐츠는 지금과 같게 하고 (용병이나 동던 등은 한동맹 내에서만 이루어지게) 단지 우호 동맹 간의 연합 설정만 가능하게 해주면 좀 더 잼있는 쟁을 즐길수 있을것 같습니다~",2019. 6. 4. 화요일 13:56
도구 키트 가격 좀 내려줘요,도구 키트 가격 좀 내려줘요,2019. 6. 4. 화요일 10:11
서버 이전끝난지도 좀 됬는데 닉네님 변경권좀 팔아주세요,ㄱ,2019. 6. 4. 화요일 03:53
아이폰 결제오류,결제만 되고 아무것도 안들어옴...,2019. 6. 4. 화요일 01:06
도감  카트 모아둔것이  없어졋어여 ,도감  카트 모아둔것이  없어졋어여  모아서 한꺼반에  할려한것인데  왜  없어진것인지  .. ㅜ ㅜ,2019. 6. 4. 화요일 00:39
확인좀해주시길,장비각성3단게한방구매를해서.장비각성3단게완료를했는데 마력석3도없구.승급석도 구매했는데 .......,2019. 6. 4. 화요일 00:31
장비각성 돌려줘,장비각성3단게 구매하고승급석까지 구매했는데 .완료만뜨고 없네요........ㅣㅣ,2019. 6. 4. 화요일 00:05
삼성덱스 사용 못한지 6주차,언제까지가나 봅시다~,2019. 6. 3. 월요일 21:26
황금요정 아가시온!,  황금 요정 아가시온은 희귀도 없는데...희귀참은 머죠? 버그인가요?  ,2019. 6. 3. 월요일 17:46
원정행동력,"이겜하면서 버그땜 에  답답하고 짜증나도 왠만하면 참고 겜하는데 어떨땐 내가 이걸 왜하나 이런 생각도 많이들고... 참 할말이 많지만  어디 버그가  한두개 여야지 .... 운영자 분들 일점 합시다 제발 쫌 ...지난주 수요일 이후 원정 안가서 행동력 풀이었는데 
왜 월요일 되니 감소돼 있는지....
 ",2019. 6. 3. 월요일 17:29
2차 전직 관련,"카마엘이 나오는데
업뎃 시점에
2차 전직도 심플하게 개선 건의합니다
  현 2차 전직은 넘 길어요 퀘템도 잘 안나오고요",2019. 6. 3. 월요일 16:13
넷마블..사게꾼**들,"강화..29강에서
25강까지떨기냐
**들아..",2019. 6. 3. 월요일 12:51
아티팩트세트칸수2칸이라도늘리고,탈리스만도2칸만늘려라 부족하다효과보면서할려니,2019. 6. 3. 월요일 12:15
꼭 봐주십쇼,"현재 이메일 연동 로그인이 문제가 된다고 수없이 고객센터에 문의를했는데 제가 힘든걸 바라는거도 아니고 이메일 연동 비밀번호 입력방식 숫자없이 입력 가능하게바꿔주십쇼 제글을 삭제 하시는거 같은데 계속 올리겠습니다
잘되던 이메일 로그인이 한순간에 업데이트로 안되고 있으면  다시 가능하게 해주셔야죠~무책임하게 어쩔수 없다라고 하면 어떻하나요?",2019. 6. 3. 월요일 11:59
로그인 팟업창.. 삭제,"로그인시 상시 뜨면 2가지 팟업창 삭제 해주시면 안돼나요??
하루에도 수십번 로그인 하는데  매번 클릭도 이제는 지치네요.. 거기에 마지막 캐릭선택 로그인 버그는 대체 언제 고쳐 주실지...
먹통이 되서 강제 종료후 재차 로그인 지칩니다..
로그인 보완문제이면 안전하게 하게 위한거라 하겠지만.. 팟업창 뜨는건 아이템 판매 관련 거라..... 아이템 판매도 중요하지만
필요한 유저는 알아서 상점 찾아가서 구매할건 다 합니다.... 조속히 조취 부탁드립니다.
 ",2019. 6. 3. 월요일 11:46
엘리스 이벤트기간 3일이라도 더 늘려주세요,"처음에 인원제한으로 안되고
그다음에는 버그나서 안되고
그리고는 핸드폰 문제인지 접속자체가 잘안되고
11시 타임 맞추기 빠듯하던데 3일정도래도 늘여주세요",2019. 6. 3. 월요일 11:12
복귀 유저를 위한...,"배트맨 아티팩트.. 상점에서 라도 살수잇게 파라주시던가 ... 어떻게좀해주세여.  카드가 텅텅 비엇어여
     ",2019. 6. 3. 월요일 10:26
필드사냥. 하얀토끼 나와서. 매일 사냥하고 싶어요 ㅎ,토끼. 넘귀여워요 ㆍ 필드사냥 에서. 톡 튀어나와  넘좋아요~^^,2019. 6. 3. 월요일 01:20
*먹어라 *** ***들아,18   너 ㅁ들  ,2019. 6. 3. 월요일 00:25
무료뽑기 건의,"무료뽑기 프리미엄장비 상자랑 아가시온 소환상자 방식을 쿨다운이아닌
지정시간 리셋으로 바꿔주세요 요즘 쿨다운방식도 거의 없는데ㅜ",2019. 6. 2. 일요일 21:52
미안하다 칭호가방에있었다,ㅋㅋ,2019. 6. 2. 일요일 20:21
사냥의마스터칭호활성화가안된다,빨랑해놔라 장난하냐 꽉마,2019. 6. 2. 일요일 20:19
허수아비 사용자 스텟 수정,"레볼루션에서 공식적으로 명중이나 회피 관통 크리 물공
  얼마나 어떻게 적용돼는지 밝히지 안으니 유저가 확인및 테스트 할수 있게
  허수아비 스텟을 유저가 정해서 테스트 할수 있게 바꿔주세요
  조금 더 낳은 레볼루션이 되도록",2019. 6. 2. 일요일 19:25
공성전,"진짜 너무 하는거 아닙니까? 하루종일 사냥하면 뭐합니까 
티켓 2000개 3000개 모아서 다 해도 고급물약 하나 안나오는데
공성전 축제는 왜합니까?  진짜 이건 너무 하네요 유저들 빙싱으로 보는것도 하루이틀인데   ㅡㅡ 하루종일 티켓 모아서 해도 쓰레기 같은거만 주고 양심도 없네요 운영자들",2019. 6. 2. 일요일 18:53
전투덱 좀 늘려주세요,장비 종류 늘어난만큼 전투덱도 좀 늘려주세요,2019. 6. 2. 일요일 18:38
렉걸림 화면깨짐 자주팅김 현상,"노트9 8램쓰는유저 입니다
거의최고사양 핸드폰이에도 불구하고
화면깨짐 심한렉 팅김현상이 자주 생깁니다
이에반해 아이패드프로9.7이상부터는 아주 잘돌아가죠
이게임이 핸드폰게임입니까 패드게임입니까
기본적으로 스마트폰 겜이면 오류 버그부터 잡는게 순서아닙니까
근2년넘는게임이 이정도로 개판인 이유가 이해를 못하겠네요
멀 팔아먹을생각하기전에 게임환경부터 개선해야는게 아닌지요
기본에 좀 충실했으면 하네요",2019. 6. 2. 일요일 16:15
2차 전직 관련,"카마엘 & 듀얼간이 시스템이 나오는데
업뎃 시점에
2차 전직도 심플하게 개선 건의합니다
  현 2차 전직은 넘 길어요 퀘템도 잘 안나오고요",2019. 6. 2. 일요일 15:35
펫마법초월확율,"50%확율인 희귀펫 마법초월. 65개(11회).>>>>2단계. 성공.  소모된 아데나,AP 물약 생각하면 말도 안됨.",2019. 6. 2. 일요일 12:00
요세 늘리자ㅡㅡ,"서버통합은 하면 
요세도 늘리야하는거 아니가
쎈혈은 늘어가고 요세는 그대로고??중립은 요세도 못먹나",2019. 6. 2. 일요일 10:35
1/1문의 아직도 안대자나요 또에러네,1/1문의안대서 따로 레볼 담당전화까지해서 담당자분이랑 말하고 취소해준다고 인벤검색까지 다하고 지금 템도 안빼가고 돈도 환불안해주고 몇일쨉니까 지금 장난합니까  1/1 대지도 않는데 댄다고 거짓말하지마시고 관리나 똑바로 해주세요,2019. 6. 2. 일요일 02:54
이벤트코어 놓친거 구매가능하게 해주세요,코어상점에 판매좀 해주세요,2019. 6. 2. 일요일 02:42
동맹원정중보잡을때 밟히잖아 안움직이잖아,"아이시바
탱하는데 자꾸 겹쳐서 안움직여지잖아
뒈지라는거냐 그냥?",2019. 6. 2. 일요일 01:07
명예전당 매칭좀 전투력으로 바꿔봐 조가치 운영하지말고,"명예전당 매칭좀 바꾸자
900일이면 모하냐
다들 짐싸는데
4승14패 결과 
18판에 300렙2백 전투력 매칭 8번이다
어느정도는 맞춰줘야지 쌈하지 쥐터지다 끝나는데
기다려본다
패치하자
잘해자",2019. 6. 1. 토요일 23:17
야 아 사발넘들아,야  이 **념들아  ***  **  **들,2019. 6. 1. 토요일 19:51
블덴 2차스킬 스킬쿨초기화 패시브 관련,"패시브 잘터집니다 초기화 잘되구요 그런데 한가지 흠이 버프스킬은 쿨초기화되면 끝났을시 바로바로 잘 사용합니다, 하지만 액티브 스킬들은 초기화만 되고 기존남았던 쿨이 지나야만 스킬을 사용합니다. 액티브 스킬은 쿨돌면 바로바로 사용하도록좀 수정부탁드립니다. 오토 돌리면서 누가 일일이 눌러서 사용하지는 않아요 꼭좀 수정해주세여",2019. 6. 1. 토요일 19:31
개인딜량차이에따른 보상 없애라,"누군 딜량 못뽑아서 못뽑냐? 케릭이 딜을 못뽑는케릭인데 어쩌라는거야
  누군 처먹고 누군 3년동안 못처먹는게 말이돼냐?",2019. 6. 1. 토요일 19:26
동맹원정 개인행동력,"동맹원정컨텐츠 각스테이지별 입장을 해야만 보상을 받을수 
  있다보니 일부러 죽으러 입장하는 사태가 발생됩니다.
  입장에 상관없이 혈원들 보상을 받을수 있게 해주시던지
  행동력 회복이 좀더 빠르게 됐으면 좋겠습니다.
   많은 유져가 좀더 많은 컨텐츠를 즐겨 봤으면 합니다.
   ",2019. 6. 1. 토요일 19:00
전문기술 AP 턱없이 부족합니다..,"솔직히 제작을 하려고 조금만 채집해도 AP는 바닥이고...뭘 할수가 없네요
상점에서 레다 500에 1만 파는거...부담됩니다
차라리 하루 1회라도 아덴으로 살수 있게 안됩니까?",2019. 6. 1. 토요일 17:55
혈맹주화. 주세요 ㆍ 사냥을 할수. 없어요^^,"주화가. 있어야   놀지요 ㅠ~^^
필드사냥하면  런덤으로. 주세요 ㆍ~^^
부탁드립니다 ^^",2019. 6. 1. 토요일 14:52
버그,편지함에 있는 집혼석이 가방이 여유가 있는데도 가방 공간이 부족 하다고 나오고 이벤트로. 나온 랜덤 카드상자는 왜 또 집혼가방 공간이 없어서 안 열린다고 하는지..  집혼석하고 카드 뭔 관계가...있는지.. 재부팅해두 같은상태네요.,2019. 6. 1. 토요일 12:29
진짜 장비던전 나가기 만들어 주던가 오토(사냥) 기능 없애라. 사람들이 양심이 없어.,"투력 개조또 안 되면서 기어 들어와 민폐 끼치는 신발놈들 다 뒤졌으면 좋겠네.
  투력 안 되면 수동으로 하는 척이라도 하던가, 오토 처돌려 놓고 한눈 팔면 나머지 사람은 조별 과제 하라는 거냐.
  특히 영웅 이상 등급에선 순식간에 수정 피 다 달아 버리는데 그러거나 말거나 실패 하거나 말거나 신발 **들...",2019. 6. 1. 토요일 10:10
결정체통합이벤트부탁드려요,이거좀하자,2019. 6. 1. 토요일 09:01
파티구성할때 비밀번호설정가능하게해주세요,요청수락하는것보다 비밀번호설정하고 잠금팟이 더 효율적이라 생각됩니다.,2019. 6. 1. 토요일 03:18
닉네임 변경권 재판매 해주세요,ㄱㄱ ,2019. 6. 1. 토요일 01:07
닉네임변경권 복구해주세요 ㅜ,기간 끝나기 전에 수차례 변경을 시도했는데 오류 뜨면서 안되던데 다시 줘야하는거 아닌가요?,2019. 6. 1. 토요일 00:16
탱커는 오르펜 탈리 못먹음?,기여도 1등 만 보상 주고 컨텐츠 대부분이 딜량으로 컨텐츠 만드네....,2019. 5. 31. 금요일 23:16
몬스터 코어가. 갑자기. 안들어 와요 ㆍ 보스 잡아도. 안들어오고. 필드몹 잡아도. 안들어. 옵니다,"정상 복구  해주세요.  오늘  아까도 그랬는데  또. ㅠ
리스해도. 안됩니다 ㆍ 얼른복구요2^^",2019. 5. 31. 금요일 22:06
아스문트 난이도 대폭 내려야합니다,"대다수의 유저들이 아스문트 잡고 획득하는거 코어 1개입니다
  물론 채널수에 따라 다르긴하겠지만 운좋게 다 잡는다해도 3~4개일겁니다
  그런데 그것도 정말 운이 좋아서 체력이 리셋이 안될경우이고 시간만 엄청 소비하고 1개채널 겨우 잡고 1개 먹는 경우가 많습니다
  리셋이 안된다쳐도 한마리 잡는데 얼마나 많은 시간이 소모되는지 아시나요?
  3개채널이 생성되었다치고 리셋이 전혀 안된다고 가정해도 무려 3~40분이 걸립니다
  그래서 얻는게 레어템정도급인가요?? 코어 고작 1개입니다
  이거 먹으려고 몇십분을 투자하고 그나마 리셋으로 인하여 유저들이 이탈하여 실패하는경우가 더 많고..
  아스문트 코어작해서 한단계 올리때 몇천씩 오르나요??
  수정하는게 맞습니다
 ",2019. 5. 30. 목요일 18:12
[듀얼클래스시스템] 타종족에서 카마엘로 변경만 가능하게 해야합니다,"저또한 블댄 키우는 입장에서 솔직히 듀얼클래스시스템 나오면 활쟁이로 변경시 더 편하고 좋습니다
  하지만 대부분의 유저들이 당연히 활쟁이로 변경을 할테고 그럼 이겜은 활볼루션이 되어버리고 캐릭터간 특성은 거의 사라지게 됩니다
  대체 그게 무슨 재미입니까??
  차라리 캐릭 다 없애고 문센이랑 고센만 남겨두시죠
  아직 시간이 없는게 아니니 다시한번 검토해주세요",2019. 5. 30. 목요일 18:05
수십번 문의 합니다,"이번업데이트 이후로 이메일 연동 계정으로 로그인을 할수가 없습니다 
비밀번호 형식이 맞지 않다는데 원래대로 돌려주십쇼
비밀번호 변경이 연동계정이 없어져 변경이 불가합니다
본인들이 업뎃 햇으니 기존으로 돌리는게 될텐데
고객센터에선 어쩔수없다라고만 하네요 말이되나요 
비밀번호에 숫자 없이도 입력할수 있게 해주십쇼",2019. 5. 30. 목요일 17:43
진행중인 이벤트 정답 변경 건의,"안녕하세요
  5월도 얼마 안남아네요
  다름이 아니라 진행중인 이벤트에서 정답을 한번 선택하게 되면
  변경이 안되는 걸로 알고 있습니다..
  정답오류자에게도 정답 변경이 가능하게 풀어주시면 안되나요",2019. 5. 30. 목요일 13:26
만능코어-구칭호-구 코스튬,언제 나오나요.? 구칭호좀 다시.얻게해주세요. 드래곤 슬레이어 루돌프 사슴코는 등등 구 발렌타인 복장,2019. 5. 30. 목요일 13:09
즐겨찾기한 친구가 삭제 되었네요 ㅠ,즐겨찾기해도 삭제가 되는거면 즐찾기능은 왜있는건가요 ㅠ,2019. 5. 30. 목요일 13:03
이상한나라앨리스이벤 아템더구입시키게하던가,이벤종료시켜라 머하자는거고 인벤자리만차지하고,2019. 5. 30. 목요일 13:02
정복자의전당 구매상품건의요,"레벨 제한걸려서 못쓰는 상품은 구매를 못해야 하는거  아닌가요??
경험치 300레벨 이하 사용만 있는게 구매해서 삭제도 안되요 ㅡㅡ",2019. 5. 30. 목요일 12:21
운영자님 혈던지원 관해 부탁 건의드려요,"혈던지원, 홍보창을 띄워놓고 곧바로 클릭했는데도  곧바로 팅겨나오길 수우십번,,,
인원초과는 그렇다치는데 혈지원홍보와 거의동시에 지원을 요청한 혈맹에서 혈보스를 잡거나 1인 혼자 0초만에 잡아 헛걸음 너무많아요 ㅡ.ㅡ 지원간 유저분중 헛걸음 한번도 안해 보신 분 손요~~>-<
  ☆근데 그 같이 헛걸음이 수십번 넘어 백번 정도는 겪은거 같아요 그러니,,, 홍보 후에는 혈보스무적상태 딱 5초만 부탁드립니다☆
  딜레이 시간이 있어서 혈지원 5초 걸려서 들어가지는 경우도 많거든여..
홍보창에 뜨자마자 클릭했음에도 혈보스 처치된 경우가 너무너무 많아서 제안드려요
홍보 후 5초무적상태 좀 만들어주세욤 
  예를들어보죠 기요틴 입장 고투님 혼자 다다닥 잡을 땔 대비 무적 몇초간 만드셨잖어요
혈보스도 그렇게 좀 해 주세요~ 젭알~' 네에~'
무적설정5초를 그 혈맹에서 설정하게 하셔도 좋구요~
   ",2019. 5. 30. 목요일 11:13
제작좀.,혈원끼리만이라도 제작의뢰할수있도록 좀 해주세용,2019. 5. 30. 목요일 09:01
짜증,"화면이 빤짝거려요.  특히나 정던이동헐때  멈추더니 쫌이따 팅! 다시 접.  또,,.   아 짜징나",2019. 5. 29. 수요일 23:31
이벤보스 수를 늘려주던가 이건 뭐 시간 쫌만 늦어도 입장불가내요,"보스 처치됐다고 못들어간다는데
  이 시부엉 이게 몇번째여 ?
  뭐요 ? 이벤트라매 ?
  모두 즐길수있어야 하는거 아닌가 ?
  조금만 늦어도 안되는거 개 오바 아니여 ?
  알람 맞춰놓고 딱 되믄 모든일 다 때려치고
  이벤 보스 들가야되나?
  에레이 시부레
  10분 정도는 들어갈 수 있게 해줘야지
  화딱지나네 시부레
  고객님이에요 돈 처쓰는요
  돈마블 먹여살려주는 고객님이라고요
  쫌 적당히 합시다
  호갱 만들지말고 ",2019. 5. 29. 수요일 23:13
발라카스 오르펜 채널 해결하세요.,"사람은 미어터지는데 오르펜 채널도 없어서 기요틴까지 만석입니다
개그하나요?",2019. 5. 29. 수요일 23:06
팅기는것좀 고쳐라,겜을 하라는거냐? 말라는거냐?,2019. 5. 29. 수요일 22:36
스크롤퀘+주간퀘 한번에 할수있는 시스템 만들어주세요,스크롤퀘 s+a+주간퀘까지 선택적으로 한번에 할수 있는 시스템 만들어주세요.,2019. 5. 29. 수요일 15:03
